Zip Code,Number of Returns,Adjusted gross income (AGI)
15129,"  5,929 ","  311,474 "
15131,"  5,050 ","  208,157 "
15132,"  11,196 ","  276,989 "
15133,"  3,883 ","  129,173 "
15134,  238 ,"  3,384 "
15135,"  2,872 ","  137,551 "
15136,"  12,631 ","  490,346 "
15137,"  6,132 ","  198,694 "
15139,"  3,780 ","  222,580 "
15140,"  1,831 ","  46,293 "
15142,"  1,010 ","  335,020 "
15143,"  10,099 ","  1,571,241 "
15144,"  2,497 ","  87,117 "
15145,"  4,243 ","  125,104 "
15146,"  16,294 ","  823,488 "
15147,"  9,953 ","  385,668 "
15148,"  1,542 ","  33,642 "
15201,"  7,499 ","  228,182 "
15202,"  11,710 ","  467,064 "
15203,"  5,557 ","  214,444 "
15204,"  4,515 ","  131,952 "
15205,"  12,475 ","  562,193 "
15206,"  15,461 ","  618,563 "
15207,"  6,476 ","  189,217 "
15208,"  5,696 ","  291,344 "
15209,"  7,470 ","  306,083 "
15210,"  14,255 ","  364,586 "
15211,"  6,525 ","  303,221 "
15212,"  15,776 ","  487,661 "
15213,"  7,668 ","  403,678 "
15214,"  7,681 ","  248,032 "
15215,"  7,115 ","  667,215 "
15216,"  13,384 ","  598,097 "
15217,"  13,755 ","  1,263,455 "
15218,"  8,254 ","  364,914 "
15219,"  6,328 ","  221,267 "
15220,"  10,013 ","  496,975 "
15221,"  17,844 ","  681,345 "
15222,"  2,382 ","  405,869 "
15223,"  4,406 ","  138,407 "
15224,"  5,879 ","  150,663 "
15225,  731 ,"  23,473 "
15226,"  8,094 ","  296,314 "
15227,"  16,204 ","  669,537 "
15228,"  9,417 ","  853,289 "
15229,"  8,299 ","  361,874 "
15230,  333 ,"  41,472 "
15232,"  5,601 ","  545,819 "
15233,"  1,730 ","  59,510 "
15234,"  8,453 ","  372,824 "
15235,"  20,572 ","  890,216 "
15236,"  17,166 ","  891,059 "
15237,"  23,230 ","  1,522,861 "
15238,"  7,559 ","  1,440,774 "
15239,"  11,280 ","  560,392 "
15241,"  10,441 ","  1,437,751 "
15242,  45 ,"  1,666 "
15243,"  7,313 ","  675,171 "
15244,  60 ,"  2,780 "
15258,  23 ,"  6,251 "
15260,  33 ,  555 
15272,  26 ,"  6,188 "
15289,  177 ,"  2,494 "
15301,"  26,769 ","  1,209,264 "
15310,  144 ,"  4,049 "
15311,  694 ,"  31,637 "
15312,"  1,938 ","  75,027 "
15313,  215 ,"  7,507 "
15314,"  2,040 ","  66,257 "
15315,  436 ,"  11,547 "
15316,  141 ,"  3,698 "
15317,"  19,075 ","  1,445,480 "
15320,"  2,719 ","  98,657 "
15321,"  1,022 ","  48,068 "
15322,"  1,102 ","  35,915 "
15323,"  2,388 ","  97,876 "
15324,  393 ,"  12,096 "
15325,  280 ,"  6,827 "
15327,  720 ,"  27,224 "
15329,  954 ,"  35,738 "
15330,"  2,886 ","  198,174 "
15331,  603 ,"  17,304 "
15332,"  4,623 ","  197,516 "
15333,"  1,081 ","  39,176 "
15334,  102 ,"  3,399 "
15336,  68 ,"  1,674 "
15337,  383 ,"  13,352 "
15338,  882 ,"  29,756 "
15339,  104 ,"  2,920 "
15340,  794 ,"  39,189 "
15341,  431 ,"  15,747 "
15342,"  2,807 ","  112,072 "
15344,  880 ,"  32,845 "
15345,  903 ,"  30,057 "
15346,  383 ,"  11,520 "
15347,  509 ,"  16,242 "
15348,  194 ,"  6,553 "
15349,  960 ,"  39,041 "
15350,  408 ,"  11,630 "
15351,  440 ,"  9,986 "
15352,  405 ,"  14,202 "
15353,  53 ,"  2,061 "
15357,  877 ,"  33,178 "
15358,  499 ,"  15,584 "
15359,  138 ,"  5,583 "
15360,  998 ,"  48,884 "
15361,  100 ,"  2,825 "
15362,  387 ,"  13,004 "
15363,  465 ,"  14,498 "
15364,  370 ,"  14,374 "
15365,  70 ,"  2,368 "
15366,  109 ,"  3,442 "
15367,"  4,086 ","  521,248 "
15368,  311 ,"  7,218 "
15370,"  6,379 ","  265,314 "
15376,  868 ,"  32,574 "
15377,  367 ,"  13,185 "
15378,  93 ,"  2,096 "
15379,  90 ,"  3,260 "
15380,  353 ,"  11,575 "
15401,"  17,338 ","  603,853 "
15410,  423 ,"  11,579 "
15411,  363 ,"  14,491 "
15412,  167 ,"  4,554 "
15413,  290 ,"  6,505 "
15415,  78 ,"  2,198 "
15416,  149 ,"  3,322 "
15417,"  4,215 ","  136,413 "
15419,"  1,145 ","  36,997 "
15420,  147 ,"  2,773 "
15421,  328 ,"  20,206 "
15422,  126 ,"  2,442 "
15423,  948 ,"  42,874 "
15424,"  1,302 ","  35,741 "
15425,"  10,601 ","  338,756 "
15427,  653 ,"  21,220 "
15428,"  1,005 ","  30,771 "
15429,  134 ,"  3,149 "
15430,  191 ,"  5,421 "
15431,"  2,580 ","  76,930 "
15432,  241 ,"  7,133 "
15433,  398 ,"  13,167 "
15434,  147 ,"  4,260 "
15435,  361 ,"  7,812 "
15436,"  1,534 ","  42,665 "
15437,"  1,283 ","  51,344 "
15438,"  1,240 ","  46,247 "
15439,  56 ,"  1,536 "
15440,  159 ,"  4,713 "
15442,"  1,157 ","  39,418 "
15443,  172 ,"  4,605 "
15444,  351 ,"  9,809 "
15445,"  1,749 ","  65,235 "
15446,  330 ,"  10,738 "
15447,  87 ,"  1,679 "
15448,  114 ,"  2,215 "
15449,  124 ,"  3,142 "
15450,  212 ,"  6,092 "
15451,  423 ,"  12,309 "
15454,  123 ,"  2,901 "
15455,  200 ,"  4,088 "
15456,"  1,456 ","  42,161 "
15458,"  1,241 ","  42,309 "
15459,  858 ,"  25,956 "
15460,  91 ,"  2,043 "
15461,"  2,361 ","  68,050 "
15462,  220 ,"  5,679 "
15463,  260 ,"  7,565 "
15464,  714 ,"  21,245 "
15465,  198 ,"  4,611 "
15466,  242 ,"  7,080 "
15467,  106 ,"  2,457 "
15468,"  1,312 ","  39,091 "
15469,"  1,144 ","  30,846 "
15470,  383 ,"  15,523 "
15472,  179 ,"  4,238 "
15473,"  2,224 ","  82,454 "
15474,"  1,114 ","  31,138 "
15475,  734 ,"  17,411 "
15476,  127 ,"  2,560 "
15477,  627 ,"  20,538 "
15478,"  3,283 ","  103,878 "
15479,"  1,204 ","  40,689 "
15480,  998 ,"  33,608 "
15482,  350 ,"  9,249 "
15483,  305 ,"  10,406 "
15484,  167 ,"  3,089 "
15485,  38 ,  657 
15486,"  1,269 ","  42,901 "
15488,  147 ,"  3,659 "
15489,  216 ,"  5,076 "
15490,  347 ,"  10,565 "
15492,  77 ,"  1,536 "
15501,"  8,783 ","  400,364 "
15502,  148 ,"  13,363 "
15510,  36 ,  176 
15520,  178 ,"  3,672 "
15521,  922 ,"  28,408 "
15522,"  6,580 ","  260,360 "
15530,"  2,736 ","  93,836 "
15531,"  2,050 ","  64,074 "
15532,  102 ,"  2,329 "
15533,  758 ,"  23,295 "
15534,  457 ,"  14,205 "
15535,"  1,155 ","  38,672 "
15536,  237 ,"  7,267 "
15537,"  4,240 ","  143,580 "
15538,  385 ,"  13,927 "
15539,  310 ,"  8,577 "
15540,  173 ,"  5,403 "
15541,"  1,999 ","  68,463 "
15542,  633 ,"  19,842 "
15544,  143 ,"  3,511 "
15545,"  1,461 ","  46,775 "
15546,  221 ,"  5,699 "
15547,  372 ,"  11,953 "
15548,  28 ,  430 
15549,  68 ,"  1,960 "
15550,  923 ,"  27,829 "
15551,  387 ,"  13,370 "
15552,"  3,140 ","  97,244 "
15553,  76 ,"  1,781 "
15554,"  1,272 ","  40,336 "
15555,  61 ,"  1,045 "
15557,"  1,981 ","  65,005 "
15558,  966 ,"  26,920 "
15559,"  1,059 ","  38,435 "
15560,  149 ,"  4,412 "
15561,  140 ,"  5,063 "
15562,  168 ,"  6,387 "
15563,"  1,769 ","  60,361 "
15564,  63 ,"  1,709 "
15565,  33 ,"  1,098 "
15601,"  32,047 ","  1,637,835 "
15610,"  1,942 ","  79,758 "
15611,  372 ,"  10,028 "
15612,  261 ,"  7,727 "
15613,"  7,633 ","  326,776 "
15615,  158 ,"  5,395 "
15616,  118 ,"  2,469 "
15617,  235 ,"  7,426 "
15618,"  1,407 ","  52,128 "
15619,  268 ,"  6,866 "
15620,  551 ,"  14,074 "
15621,  85 ,"  2,043 "
15622,  761 ,"  39,457 "
15623,  441 ,"  15,378 "
15624,  310 ,"  8,676 "
15625,  119 ,"  3,973 "
15626,"  2,898 ","  139,279 "
15627,"  3,644 ","  121,510 "
15628,  331 ,"  8,525 "
15629,  383 ,"  9,563 "
15631,  586 ,"  14,009 "
15632,"  4,990 ","  354,098 "
15633,  166 ,"  4,180 "
15634,  367 ,"  9,348 "
15635,  171 ,"  4,609 "
15636,"  1,947 ","  126,253 "
15637,"  1,127 ","  37,870 "
15638,  191 ,"  3,951 "
15639,"  1,090 ","  43,454 "
15640,  190 ,"  5,626 "
15641,  290 ,"  9,902 "
15642,"  24,434 ","  1,276,310 "
15644,"  10,409 ","  419,306 "
15646,  167 ,"  4,913 "
15647,  252 ,"  7,971 "
15650,"  15,176 ","  649,359 "
15655,  368 ,"  22,323 "
15656,"  5,748 ","  232,177 "
15658,"  4,886 ","  355,988 "
15660,  162 ,"  4,995 "
15661,  375 ,"  10,805 "
15662,  175 ,"  3,850 "
15663,  315 ,"  11,635 "
15664,  75 ,"  2,773 "
15665,  872 ,"  34,763 "
15666,"  8,848 ","  313,955 "
15668,"  7,315 ","  663,168 "
15670,"  2,014 ","  87,827 "
15671,  456 ,"  13,594 "
15672,"  1,906 ","  83,490 "
15673,  764 ,"  26,554 "
15674,  232 ,"  7,448 "
15675,  627 ,"  19,327 "
15676,  331 ,"  11,813 "
15677,  235 ,"  11,614 "
15678,  357 ,"  11,911 "
15679,"  1,852 ","  70,359 "
15680,  177 ,"  4,825 "
15681,"  2,753 ","  98,619 "
15682,  30 ,  684 
15683,"  4,704 ","  169,289 "
15684,  426 ,"  12,677 "
15685,  175 ,"  4,487 "
15686,  482 ,"  20,775 "
15687,  730 ,"  33,833 "
15688,  418 ,"  11,566 "
15689,  134 ,"  3,290 "
15690,"  5,010 ","  156,627 "
15691,  125 ,"  3,916 "
15692,  541 ,"  18,243 "
15693,  158 ,"  3,906 "
15695,  216 ,"  6,320 "
15696,  383 ,"  13,015 "
15697,"  1,807 ","  56,595 "
15698,  489 ,"  13,692 "
15701,"  13,948 ","  718,710 "
15705,  46 ,  275 
15710,  143 ,"  3,656 "
15711,  225 ,"  5,746 "
15712,  78 ,"  1,268 "
15713,  122 ,"  2,888 "
15714,"  3,401 ","  102,952 "
15715,  356 ,"  9,342 "
15716,  541 ,"  12,313 "
15717,"  5,378 ","  205,750 "
15720,  131 ,"  4,153 "
15721,  129 ,"  2,592 "
15722,"  1,234 ","  42,990 "
15723,  37 ,  899 
15724,"  1,243 ","  35,356 "
15725,  755 ,"  29,606 "
15727,  95 ,"  2,951 "
15728,"  1,913 ","  59,815 "
15729,  754 ,"  22,216 "
15730,  70 ,"  2,142 "
15731,  202 ,"  5,353 "
15732,  900 ,"  30,837 "
15733,  78 ,"  1,394 "
15734,  197 ,"  5,157 "
15736,  365 ,"  12,667 "
15737,  370 ,"  8,216 "
15738,  137 ,"  3,093 "
15739,  259 ,"  6,447 "
15741,  49 ,"  1,198 "
15742,  491 ,"  15,192 "
15744,  51 ,"  1,355 "
15745,  215 ,"  6,999 "
15746,  121 ,"  3,783 "
15747,  978 ,"  44,598 "
15748,"  3,758 ","  132,550 "
15750,  76 ,"  1,932 "
15752,  69 ,"  1,739 "
15753,  238 ,"  6,133 "
15754,  312 ,"  9,364 "
15756,  96 ,"  2,380 "
15757,  887 ,"  23,840 "
15759,"  1,317 ","  50,252 "
15760,  57 ,"  1,008 "
15761,  43 ,"  1,039 "
15762,  486 ,"  19,012 "
15763,  21 ,  631 
15764,  66 ,"  2,530 "
15765,  896 ,"  37,129 "
15767,"  7,644 ","  284,777 "
15770,  111 ,"  4,857 "
15771,  472 ,"  15,228 "
15772,  882 ,"  22,665 "
15773,  218 ,"  7,110 "
15774,"  1,669 ","  65,876 "
15776,  35 ,  968 
15777,  91 ,"  2,879 "
15778,  86 ,"  2,604 "
15779,  187 ,"  3,473 "
15780,  86 ,"  2,127 "
15781,  107 ,"  2,816 "
15783,  72 ,"  2,377 "
15784,  79 ,"  2,569 "
15801,"  10,737 ","  437,407 "
15821,  108 ,"  2,812 "
15823,  845 ,"  29,955 "
15824,"  2,898 ","  108,447 "
15825,"  5,265 ","  203,855 "
15827,  196 ,"  4,956 "
15828,  161 ,"  4,886 "
15829,  688 ,"  23,710 "
15831,  125 ,"  3,199 "
15832,  194 ,"  6,351 "
15834,"  2,692 ","  90,563 "
15840,"  1,101 ","  33,768 "
15841,  148 ,"  3,966 "
15845,"  1,980 ","  64,113 "
15846,"  1,838 ","  69,837 "
15847,  117 ,"  3,160 "
15848,  564 ,"  18,226 "
15849,  760 ,"  23,060 "
15851,"  3,565 ","  111,065 "
15853,"  3,876 ","  145,023 "
15856,  501 ,"  18,431 "
15857,"  7,873 ","  330,595 "
15860,  637 ,"  22,245 "
15861,  100 ,"  3,018 "
15863,  136 ,"  3,331 "
15864,"  1,008 ","  34,666 "
15865,  694 ,"  19,756 "
15866,  117 ,"  3,263 "
15868,  814 ,"  27,747 "
15870,  741 ,"  26,799 "
15901,"  2,346 ","  39,252 "
15902,"  6,831 ","  164,380 "
15904,"  8,499 ","  389,131 "
15905,"  11,826 ","  600,826 "
15906,"  6,150 ","  147,189 "
15907,  207 ,"  4,585 "
15909,"  3,111 ","  95,242 "
15920,  584 ,"  20,486 "
15921,  473 ,"  12,197 "
15922,  175 ,"  5,466 "
15923,  892 ,"  30,320 "
15924,  581 ,"  16,898 "
15925,  98 ,"  2,854 "
15926,"  1,495 ","  53,622 "
15927,  639 ,"  19,140 "
15928,"  1,087 ","  47,721 "
15929,  106 ,"  3,581 "
15930,  215 ,"  5,759 "
15931,"  4,882 ","  203,290 "
15934,  177 ,"  6,444 "
15935,"  1,483 ","  51,358 "
15936,  893 ,"  26,681 "
15937,  443 ,"  12,572 "
15938,"  1,340 ","  45,569 "
15940,  898 ,"  35,724 "
15942,"  1,160 ","  43,540 "
15943,"  2,153 ","  61,106 "
15944,"  1,725 ","  63,889 "
15945,  149 ,"  4,152 "
15946,"  4,032 ","  130,733 "
15948,  319 ,"  9,518 "
15949,  408 ,"  11,709 "
15951,  362 ,"  9,618 "
15952,  783 ,"  28,834 "
15953,  50 ,"  1,461 "
15954,"  1,141 ","  36,716 "
15955,"  1,092 ","  37,949 "
15956,"  1,555 ","  47,154 "
15957,  299 ,"  8,542 "
15958,"  1,151 ","  45,201 "
15959,  141 ,"  3,799 "
15960,  240 ,"  5,922 "
15961,  539 ,"  15,945 "
15962,  121 ,"  3,573 "
15963,"  6,232 ","  207,584 "
16001,"  22,528 ","  920,760 "
16002,"  8,214 ","  465,747 "
16003,  340 ,"  11,576 "
16020,  626 ,"  24,035 "
16022,  283 ,"  10,395 "
16023,"  2,343 ","  95,931 "
16024,  201 ,"  5,963 "
16025,"  2,895 ","  122,707 "
16027,  245 ,"  10,651 "
16028,"  1,072 ","  33,699 "
16029,  387 ,"  13,350 "
16030,  212 ,"  6,258 "
16033,"  3,275 ","  155,035 "
16034,"  1,050 ","  39,634 "
16035,  101 ,"  3,454 "
16036,  119 ,"  3,733 "
16037,"  2,415 ","  143,093 "
16038,"  1,751 ","  59,768 "
16039,  80 ,"  2,166 "
16040,  466 ,"  15,065 "
16041,"  1,049 ","  38,167 "
16045,  710 ,"  19,526 "
16046,"  6,431 ","  612,470 "
16048,  89 ,"  2,453 "
16049,"  1,686 ","  54,584 "
16050,  723 ,"  25,911 "
16051,"  1,804 ","  73,177 "
16052,"  1,369 ","  60,736 "
16053,"  2,166 ","  133,158 "
16054,  256 ,"  8,036 "
16055,"  4,431 ","  239,024 "
16056,"  2,762 ","  127,040 "
16057,"  4,976 ","  223,596 "
16058,  10 ,  198 
16059,"  4,309 ","  259,147 "
16061,"  1,443 ","  56,890 "
16063,"  4,115 ","  213,497 "
16066,"  13,751 ","  1,073,131 "
16101,"  17,800 ","  543,625 "
16102,"  2,990 ","  103,269 "
16103,  233 ,"  5,504 "
16105,"  8,573 ","  464,956 "
16107,  198 ,"  5,217 "
16110,  206 ,"  6,531 "
16111,  547 ,"  17,016 "
16112,  851 ,"  27,283 "
16113,  250 ,"  10,567 "
16114,  343 ,"  10,856 "
16115,"  1,806 ","  68,957 "
16116,"  1,648 ","  54,458 "
16117,"  9,601 ","  345,484 "
16120,"  1,235 ","  47,663 "
16121,"  2,779 ","  60,793 "
16123,"  1,235 ","  55,129 "
16124,"  1,052 ","  33,143 "
16125,"  9,382 ","  334,392 "
16127,"  7,267 ","  311,631 "
16130,"  1,062 ","  34,827 "
16131,  498 ,"  15,328 "
16132,  290 ,"  6,662 "
16133,  821 ,"  30,088 "
16134,"  2,113 ","  69,024 "
16136,  534 ,"  13,743 "
16137,"  6,236 ","  258,333 "
16140,  161 ,"  4,705 "
16141,"  1,007 ","  33,449 "
16142,"  2,678 ","  133,160 "
16143,"  1,493 ","  62,953 "
16145,"  1,394 ","  50,899 "
16146,"  7,590 ","  226,926 "
16148,"  9,707 ","  472,701 "
16150,"  4,204 ","  163,105 "
16151,  89 ,"  2,440 "
16153,"  1,433 ","  51,655 "
16154,"  1,504 ","  57,091 "
16155,  81 ,  656 
16156,"  1,612 ","  69,810 "
16157,"  1,956 ","  66,497 "
16159,"  2,764 ","  107,210 "
16160,  496 ,"  14,318 "
16161,  437 ,"  10,320 "
16201,"  9,783 ","  403,477 "
16210,  542 ,"  16,847 "
16211,  43 ,"  1,307 "
16212,  233 ,"  6,673 "
16213,  106 ,"  2,596 "
16214,"  3,656 ","  155,168 "
16217,  102 ,"  3,753 "
16218,  640 ,"  23,302 "
16220,  57 ,"  1,859 "
16221,  34 ,  814 
16222,"  1,205 ","  41,231 "
16223,  167 ,"  4,485 "
16224,  604 ,"  19,255 "
16225,  62 ,"  1,928 "
16226,"  4,704 ","  161,111 "
16228,  211 ,"  6,375 "
16229,"  2,901 ","  148,875 "
16230,  297 ,"  8,872 "
16232,"  2,290 ","  74,532 "
16233,  595 ,"  20,036 "
16234,  48 ,"  1,488 "
16235,  725 ,"  27,052 "
16236,  197 ,"  4,419 "
16238,  235 ,"  7,815 "
16239,  959 ,"  25,356 "
16240,  817 ,"  30,108 "
16242,"  2,442 ","  83,487 "
16244,  138 ,"  3,341 "
16245,  122 ,"  2,982 "
16246,  164 ,"  5,217 "
16248,"  1,811 ","  52,416 "
16249,"  1,120 ","  41,188 "
16250,  158 ,"  3,691 "
16253,  82 ,"  1,788 "
16254,"  1,776 ","  73,534 "
16255,  980 ,"  33,194 "
16256,  605 ,"  17,910 "
16258,  977 ,"  29,520 "
16259,"  1,030 ","  34,643 "
16260,  122 ,"  3,505 "
16261,  12 ,  238 
16262,"  1,584 ","  61,473 "
16263,  206 ,"  5,393 "
16301,"  8,904 ","  297,768 "
16311,  259 ,"  8,791 "
16312,  38 ,  856 
16313,"  1,079 ","  37,353 "
16314,"  2,907 ","  103,832 "
16316,"  3,076 ","  125,448 "
16317,  822 ,"  26,683 "
16319,  786 ,"  29,885 "
16321,  78 ,"  2,072 "
16322,  110 ,"  2,671 "
16323,"  8,813 ","  320,985 "
16326,  220 ,"  7,860 "
16327,"  1,393 ","  50,421 "
16328,  127 ,"  3,258 "
16329,  269 ,"  9,062 "
16331,  68 ,"  1,935 "
16332,  64 ,"  1,947 "
16333,  198 ,"  6,229 "
16334,  235 ,"  9,968 "
16335,"  14,595 ","  577,483 "
16340,  985 ,"  31,706 "
16341,"  1,105 ","  38,613 "
16342,"  1,453 ","  39,709 "
16343,  264 ,"  8,022 "
16344,  278 ,"  6,652 "
16345,"  2,006 ","  97,497 "
16346,"  1,738 ","  59,291 "
16347,"  1,284 ","  42,613 "
16350,"  1,248 ","  43,556 "
16351,  906 ,"  25,188 "
16352,  157 ,"  4,651 "
16353,"  1,560 ","  47,571 "
16354,"  5,838 ","  182,724 "
16360,  711 ,"  22,583 "
16361,  118 ,"  3,909 "
16362,  559 ,"  17,571 "
16364,  598 ,"  20,422 "
16365,"  10,288 ","  471,389 "
16370,  143 ,"  3,922 "
16371,"  1,724 ","  56,715 "
16372,  321 ,"  8,635 "
16373,"  1,838 ","  62,662 "
16374,  942 ,"  30,398 "
16375,  36 ,  912 
16401,"  2,318 ","  75,474 "
16402,  398 ,"  11,992 "
16403,"  2,931 ","  107,269 "
16404,"  1,588 ","  48,104 "
16405,  435 ,"  12,288 "
16406,"  1,771 ","  54,505 "
16407,"  5,643 ","  186,066 "
16410,  965 ,"  35,920 "
16411,  791 ,"  23,594 "
16412,"  4,706 ","  221,242 "
16413,  32 ,  730 
16415,"  4,510 ","  335,662 "
16416,  119 ,"  2,296 "
16417,"  4,551 ","  174,178 "
16420,  341 ,"  9,819 "
16421,"  1,385 ","  57,060 "
16422,  210 ,"  5,551 "
16423,"  2,176 ","  73,847 "
16424,"  2,551 ","  72,629 "
16426,"  2,077 ","  93,665 "
16427,  167 ,"  5,081 "
16428,"  6,836 ","  283,963 "
16430,  60 ,"  1,901 "
16433,"  2,771 ","  108,210 "
16434,"  1,165 ","  34,480 "
16435,"  1,050 ","  30,874 "
16436,  368 ,"  10,741 "
16438,"  4,076 ","  128,967 "
16440,  499 ,"  17,539 "
16441,"  5,206 ","  223,495 "
16442,"  1,501 ","  58,561 "
16443,  739 ,"  22,576 "
16444,  12 ,  50 
16475,  19 ,  69 
16501,"  1,122 ","  10,525 "
16502,"  8,176 ","  184,670 "
16503,"  6,841 ","  117,739 "
16504,"  8,765 ","  267,266 "
16505,"  10,312 ","  628,064 "
16506,"  13,065 ","  744,169 "
16507,"  4,722 ","  116,813 "
16508,"  9,118 ","  318,222 "
16509,"  14,633 ","  706,976 "
16510,"  13,029 ","  507,718 "
16511,"  5,943 ","  237,936 "
16512,  417 ,"  9,208 "
16514,  206 ,"  6,497 "
16541,  40 ,  515 
16546,  95 ,  906 
16563,  20 ,  106 
16601,"  17,252 ","  569,244 "
16602,"  15,918 ","  535,560 "
16603,  350 ,"  8,543 "
16611,"  1,229 ","  44,905 "
16613,  822 ,"  29,102 "
16616,  76 ,"  1,765 "
16617,"  1,495 ","  47,991 "
16619,  243 ,"  6,639 "
16620,  212 ,"  6,533 "
16621,  375 ,"  12,054 "
16622,  144 ,"  4,518 "
16623,  236 ,"  8,425 "
16624,  128 ,"  4,398 "
16625,"  1,927 ","  55,408 "
16627,"  1,074 ","  32,435 "
16629,  38 ,  672 
16630,"  2,509 ","  89,542 "
16631,  69 ,"  3,044 "
16633,  102 ,"  2,861 "
16634,  166 ,"  5,401 "
16635,"  6,162 ","  281,120 "
16636,  421 ,"  14,241 "
16637,"  1,342 ","  37,857 "
16638,  41 ,  835 
16639,  537 ,"  14,586 "
16640,  489 ,"  17,586 "
16641,"  1,517 ","  47,450 "
16644,  160 ,"  4,660 "
16645,  92 ,"  2,395 "
16646,"  1,356 ","  44,437 "
16647,  453 ,"  16,646 "
16648,"  8,683 ","  533,619 "
16650,  977 ,"  30,112 "
16651,"  1,811 ","  54,421 "
16652,"  7,419 ","  281,677 "
16655,  863 ,"  26,668 "
16656,  653 ,"  17,870 "
16657,  693 ,"  23,716 "
16659,  165 ,"  5,778 "
16660,  82 ,"  2,045 "
16661,  526 ,"  14,460 "
16662,"  3,006 ","  115,505 "
16663,  114 ,"  2,917 "
16664,  922 ,"  36,010 "
16665,  273 ,"  8,284 "
16666,"  1,586 ","  45,074 "
16667,  785 ,"  24,812 "
16668,"  1,957 ","  63,859 "
16669,"  1,124 ","  41,498 "
16670,  99 ,"  3,246 "
16671,  296 ,"  9,192 "
16672,  96 ,"  2,170 "
16673,"  2,963 ","  107,774 "
16674,  312 ,"  9,399 "
16675,  42 ,"  1,154 "
16677,  237 ,"  8,303 "
16678,"  1,482 ","  46,209 "
16679,  432 ,"  12,091 "
16680,  282 ,"  8,685 "
16681,  112 ,"  2,965 "
16682,  95 ,"  2,011 "
16683,  229 ,"  9,767 "
16684,  199 ,"  5,914 "
16685,  129 ,"  4,320 "
16686,"  7,396 ","  248,475 "
16689,  251 ,"  8,289 "
16691,  169 ,"  5,798 "
16692,  388 ,"  11,905 "
16693,"  2,143 ","  67,664 "
16694,  135 ,"  3,921 "
16695,  495 ,"  16,690 "
16698,  10 ,  43 
16699,  14 ,  47 
16701,"  9,313 ","  379,912 "
16720,  726 ,"  22,853 "
16724,  96 ,"  2,507 "
16725,  148 ,"  4,999 "
16726,  286 ,"  8,758 "
16727,  241 ,"  10,186 "
16728,  25 ,  877 
16729,  429 ,"  14,534 "
16730,  109 ,"  2,637 "
