Zip Code,Number of Returns,Adjusted gross income (AGI)
TOTAL,"  6,601,648 ","  343,163,849 "
15001,"  18,306 ","  732,875 "
15003,"  6,639 ","  205,884 "
15004,  196 ,"  6,735 "
15005,"  5,546 ","  299,894 "
15006,  227 ,"  8,072 "
15007,  232 ,"  10,306 "
15009,"  8,478 ","  426,250 "
15010,"  15,006 ","  610,704 "
15012,"  9,048 ","  389,664 "
15014,"  1,805 ","  58,195 "
15015,  693 ,"  80,549 "
15017,"  8,748 ","  493,679 "
15018,  529 ,"  17,576 "
15019,  924 ,"  35,006 "
15020,  165 ,"  5,319 "
15021,"  3,918 ","  157,934 "
15022,"  6,023 ","  206,786 "
15024,"  4,718 ","  258,702 "
15025,"  8,949 ","  422,215 "
15026,"  1,961 ","  93,201 "
15027,"  1,265 ","  45,208 "
15028,  115 ,"  3,515 "
15030,  633 ,"  17,634 "
15031,  333 ,"  9,392 "
15032,  173 ,"  6,627 "
15033,"  2,804 ","  70,101 "
15034,"  1,103 ","  33,920 "
15035,"  1,305 ","  38,623 "
15037,"  6,169 ","  265,251 "
15038,  234 ,"  7,577 "
15042,"  4,638 ","  203,170 "
15043,"  1,154 ","  46,708 "
15044,"  13,857 ","  1,369,509 "
15045,"  2,680 ","  72,554 "
15046,"  1,433 ","  66,384 "
15047,  201 ,"  7,563 "
15049,  633 ,"  22,468 "
15050,"  1,365 ","  60,644 "
15051,  270 ,"  8,471 "
15052,"  1,918 ","  76,015 "
15053,  132 ,"  4,353 "
15054,  375 ,"  9,048 "
15055,  881 ,"  44,785 "
15056,  650 ,"  22,961 "
15057,"  6,838 ","  383,966 "
15059,"  2,312 ","  67,978 "
15060,  563 ,"  19,574 "
15061,"  7,193 ","  279,329 "
15062,"  4,475 ","  127,893 "
15063,"  6,549 ","  248,903 "
15064,  223 ,"  6,868 "
15065,"  6,641 ","  275,192 "
15066,"  6,993 ","  230,069 "
15067,"  1,334 ","  40,083 "
15068,"  22,242 ","  903,776 "
15071,"  5,207 ","  287,429 "
15072,  115 ,"  1,833 "
15074,"  5,282 ","  172,108 "
15075,  126 ,"  4,291 "
15076,  602 ,"  16,815 "
15077,  108 ,"  3,339 "
15078,  353 ,"  9,616 "
15081,  278 ,"  8,340 "
15082,  209 ,"  7,283 "
15083,  563 ,"  19,036 "
15084,"  5,611 ","  192,957 "
15085,"  4,470 ","  211,506 "
15086,  214 ,"  14,507 "
15087,  148 ,"  3,745 "
15088,  406 ,"  10,471 "
15089,"  3,624 ","  132,607 "
15090,"  10,551 ","  1,337,148 "
15091,  68 ,"  2,299 "
15101,"  13,187 ","  1,139,792 "
15102,"  16,808 ","  995,026 "
15104,"  4,688 ","  98,666 "
15106,"  11,002 ","  459,263 "
15108,"  21,343 ","  1,281,532 "
15110,"  2,880 ","  58,366 "
15112,"  1,967 ","  51,776 "
15116,"  8,341 ","  467,563 "
15120,"  11,156 ","  364,087 "
15122,"  11,847 ","  428,232 "
15126,"  3,893 ","  187,910 "
15127,  155 ,"  7,968 "
