Zip Code,Number of Returns,Adjusted gross income (AGI)
15438,"  1,080 ","  44,475 "
15442,"  1,005 ","  41,767 "
15444,  300 ,"  9,975 "
15445,"  1,518 ","  69,862 "
15446,  310 ,"  11,800 "
15451,  355 ,"  13,867 "
15456,"  1,195 ","  43,623 "
15458,"  1,100 ","  43,885 "
15459,  737 ,"  27,472 "
15461,"  1,946 ","  67,841 "
15464,  627 ,"  23,074 "
15468,"  1,055 ","  37,551 "
15469,  972 ,"  32,926 "
15470,  360 ,"  14,958 "
15473,"  1,987 ","  84,802 "
15474,  949 ,"  32,857 "
15475,  553 ,"  17,486 "
15477,  548 ,"  20,154 "
15478,"  2,821 ","  109,199 "
15479,"  1,064 ","  41,846 "
15480,  884 ,"  33,981 "
15482,  300 ,"  9,901 "
15483,  266 ,"  10,299 "
15486,"  1,125 ","  43,875 "
15490,  300 ,"  11,804 "
15501,"  7,742 ","  450,219 "
15521,  808 ,"  29,024 "
15522,"  5,780 ","  251,198 "
15530,"  2,439 ","  104,803 "
15531,"  1,789 ","  68,324 "
15533,  685 ,"  22,249 "
15534,  380 ,"  13,535 "
15535,"  1,011 ","  38,706 "
15537,"  3,699 ","  141,898 "
15538,  351 ,"  14,018 "
15539,  279 ,"  8,952 "
15541,"  1,780 ","  73,594 "
15542,  565 ,"  19,593 "
15545,"  1,265 ","  46,143 "
15547,  330 ,"  12,608 "
15550,  806 ,"  28,115 "
15551,  354 ,"  13,724 "
15552,"  2,756 ","  100,768 "
15554,"  1,172 ","  42,326 "
15557,"  1,810 ","  69,189 "
15558,  837 ,"  28,400 "
15559,  972 ,"  37,970 "
15563,"  1,499 ","  69,707 "
15601,"  29,194 ","  1,604,600 "
15610,"  1,807 ","  87,375 "
15611,  295 ,"  9,808 "
15613,"  6,871 ","  325,544 "
15618,"  1,265 ","  52,328 "
15620,  451 ,"  13,621 "
15622,  678 ,"  42,264 "
15623,  405 ,"  17,242 "
15624,  274 ,"  8,521 "
15626,"  2,680 ","  141,275 "
15627,"  3,269 ","  130,140 "
15628,  295 ,"  9,594 "
15629,  337 ,"  10,321 "
15631,  480 ,"  14,597 "
15632,"  4,731 ","  357,366 "
15634,  320 ,"  9,430 "
15636,"  1,865 ","  140,495 "
15637,  991 ,"  37,463 "
15639,  978 ,"  44,391 "
15642,"  22,982 ","  1,288,124 "
15644,"  9,391 ","  414,385 "
15650,"  13,472 ","  627,752 "
15655,  353 ,"  20,028 "
15656,"  5,106 ","  229,078 "
15658,"  4,419 ","  275,462 "
15661,  312 ,"  10,804 "
15663,  275 ,"  11,257 "
15665,  817 ,"  34,448 "
15666,"  7,663 ","  313,449 "
15668,"  7,016 ","  653,537 "
15670,"  1,843 ","  93,471 "
15671,  386 ,"  14,533 "
15672,"  1,743 ","  86,742 "
15673,  658 ,"  25,041 "
15675,  551 ,"  19,868 "
15676,  286 ,"  12,088 "
15678,  326 ,"  12,748 "
15679,"  1,676 ","  71,715 "
15681,"  2,412 ","  102,988 "
15683,"  4,072 ","  169,031 "
15684,  394 ,"  13,010 "
15686,  436 ,"  21,607 "
