Zip Code,Number of Returns,Adjusted gross income (AGI)
15001,"16,111","722,407"
15003,"5,753","205,569"
15005,"4,933","285,976"
15007,210,"10,823"
15009,"7,416","409,562"
15010,"13,121","589,349"
15012,"7,811","386,275"
15014,"1,596","53,909"
15015,652,"64,951"
15017,"8,068","468,110"
15018,458,"17,133"
15019,813,"35,201"
15021,"3,421","153,477"
15022,"4,987","198,980"
15024,"4,311","259,924"
15025,"7,986","411,157"
15026,"1,773","89,672"
15027,"1,121","44,694"
15030,528,"17,435"
15031,275,"11,046"
15033,"2,209","69,544"
15034,918,"33,488"
15035,"1,121","38,206"
15037,"5,509","267,179"
15042,"4,223","198,824"
15043,"1,036","48,900"
15044,"13,321","1,297,842"
15045,"2,119","68,706"
15046,"1,323","61,867"
15049,570,"21,391"
15050,"1,279","70,940"
15051,254,"11,527"
15052,"1,697","74,289"
15053,112,"4,131"
15055,860,"44,003"
15056,544,"26,498"
15057,"6,417","400,460"
15059,"1,860","66,269"
15061,"6,320","272,767"
15062,"3,575","123,251"
15063,"5,745","250,976"
15064,196,"7,572"
15065,"5,852","259,949"
15066,"6,054","230,877"
15067,"1,087","40,408"
15068,"19,194","861,740"
15071,"5,069","290,259"
15074,"4,541","167,844"
15076,506,"17,289"
15078,285,"9,767"
15083,488,"19,833"
15084,"4,791","190,503"
15085,"4,062","229,737"
15086,196,"15,965"
15089,"3,128","134,809"
15090,"10,224","1,194,631"
15101,"12,247","972,947"
15102,"15,613","956,851"
15104,"3,802","96,629"
15106,"9,819","452,321"
15108,"19,723","1,259,538"
15110,"2,203","56,017"
15112,"1,596","49,523"
15116,"7,680","468,852"
15120,"9,529","363,637"
15122,"10,418","422,122"
15126,"3,664","188,405"
15129,"5,655","305,018"
15131,"4,506","206,114"
15132,"8,843","263,573"
15133,"3,348","130,361"
15135,"2,533","127,996"
15136,"11,056","484,458"
15137,"5,244","196,881"
15139,"3,428","222,133"
15140,"1,507","44,987"
15142,"1,022","244,618"
15143,"9,397","1,395,873"
15144,"2,237","86,353"
15145,"3,587","118,581"
15146,"14,919","778,230"
15147,"8,974","368,778"
15148,"1,220","34,381"
15201,"6,616","236,167"
15202,"10,524","457,636"
15203,"4,989","255,683"
15204,"3,914","132,690"
15205,"11,876","554,416"
15206,"13,721","628,630"
15207,"5,373","188,712"
15208,"4,661","263,870"
15209,"6,635","304,966"
15210,"12,015","365,369"
15211,"5,915","261,449"
15212,"13,285","512,940"
15213,"6,398","320,863"
15214,"6,641","254,077"
15215,"6,328","526,937"
15216,"12,274","584,208"
15217,"12,784","1,111,711"
15218,"7,394","357,525"
15219,"4,996","210,916"
15220,"9,252","468,769"
15221,"15,614","631,217"
15222,"2,341","308,160"
15223,"3,878","139,454"
15224,"5,146","161,188"
15225,662,"22,740"
15226,"7,251","299,856"
15227,"14,958","665,109"
15228,"8,880","842,455"
15229,"7,596","359,517"
15232,"5,369","449,188"
15233,"1,429","85,471"
15234,"7,702","380,996"
15235,"18,485","867,751"
15236,"15,637","829,364"
15237,"21,839","1,446,797"
15238,"6,974","1,119,997"
15239,"10,608","560,484"
15241,"9,732","1,246,157"
15243,"7,072","600,312"
15301,"23,438","1,157,960"
15310,113,"4,366"
15311,665,"34,397"
15312,"1,690","80,413"
15314,"1,675","69,096"
15316,113,"3,895"
15317,"18,165","1,423,360"
15320,"2,315","103,493"
15321,929,"48,941"
15322,854,"37,107"
15323,"2,132","97,577"
15327,556,"26,381"
15329,870,"40,404"
15330,"2,648","177,264"
15332,"4,263","200,182"
15333,913,"40,476"
15337,334,"18,515"
15338,757,"35,901"
15340,742,"40,913"
15341,344,"18,274"
15342,"2,471","115,727"
15344,770,"36,520"
15345,755,"30,268"
15349,821,"46,747"
15352,350,"16,353"
15357,763,"37,194"
15359,114,"5,078"
15360,892,"49,859"
15362,329,"14,417"
15363,437,"14,674"
15364,313,"15,986"
15367,"3,962","481,054"
15370,"5,431","289,641"
15376,789,"34,750"
15377,307,"15,583"
15380,304,"14,062"
15401,"14,255","597,300"
15410,360,"11,890"
15411,300,"13,021"
15413,241,"6,908"
15417,"3,427","138,627"
15419,891,"37,091"
15423,832,"43,809"
15424,"1,045","35,242"
