Zip Code,Number of Returns,Adjusted gross income (AGI)
15425,"8,792","334,613"
15427,531,"20,602"
15428,847,"32,544"
15429,110,"3,466"
15431,"2,104","76,855"
15433,333,"14,005"
15436,"1,239","45,045"
15437,"1,137","52,198"
15438,"1,061","45,920"
15440,146,"5,215"
15442,974,"39,448"
15444,277,"9,718"
15445,"1,521","67,793"
15446,309,"12,039"
15450,170,"6,567"
15451,332,"13,091"
15456,"1,156","41,725"
15458,"1,066","48,140"
15459,719,"26,788"
15461,"1,921","68,593"
15462,177,"4,984"
15464,593,"23,206"
15468,"1,025","38,711"
15469,912,"32,137"
15470,334,"15,571"
15473,"1,936","85,980"
15474,887,"32,880"
15478,"2,730","106,494"
15479,"1,041","43,237"
15480,882,"34,517"
15486,"1,062","44,465"
15490,284,"10,697"
15501,"7,452","363,770"
15521,783,"28,669"
15522,"5,531","235,715"
15530,"2,415","95,595"
15531,"1,695","64,047"
15533,647,"22,165"
15534,372,"13,503"
15535,958,"36,501"
15536,221,"7,111"
15537,"3,598","137,292"
15538,348,"14,894"
15539,272,"8,642"
15540,145,"6,309"
15541,"1,755","70,857"
15542,564,"18,982"
15545,"1,228","46,139"
15546,176,"5,890"
15550,763,"27,238"
15551,341,"13,099"
15552,"2,621","95,081"
15554,"1,135","42,058"
15557,"1,741","64,375"
15558,820,"28,217"
15559,932,"42,943"
15562,133,"6,524"
15563,"1,470","59,692"
15601,"28,453","1,575,070"
15610,"1,755","83,466"
15611,277,"9,465"
15612,214,"7,458"
15613,"6,649","315,261"
15615,124,"4,906"
15618,"1,234","50,196"
15620,453,"13,864"
15622,668,"42,922"
15623,392,"17,868"
15626,"2,636","144,551"
15627,"3,183","124,038"
15628,280,"8,912"
15632,"4,602","333,757"
15634,322,"10,425"
15636,"1,844","127,306"
15637,942,"37,332"
15639,939,"43,344"
15641,261,"9,282"
15642,"22,513","1,274,027"
15644,"9,144","402,148"
15646,151,"6,556"
15647,210,"7,637"
15650,"13,200","619,416"
15655,344,"21,717"
15656,"4,983","225,493"
15658,"4,281","247,980"
15660,130,"4,902"
15661,295,"10,245"
15665,800,"35,327"
15666,"7,422","310,737"
15668,"6,854","604,825"
15670,"1,765","95,552"
15671,390,"14,820"
15672,"1,706","82,786"
15675,542,"19,635"
15677,214,"10,387"
15678,313,"12,278"
15679,"1,624","70,691"
15681,"2,358","102,825"
15683,"3,964","167,983"
15684,374,"12,641"
15686,435,"27,879"
15687,649,"40,704"
15688,342,"11,802"
15690,"4,179","151,408"
15692,499,"18,888"
15697,"1,576","57,101"
15698,408,"13,016"
15701,"12,465","682,120"
15711,181,"5,759"
15713,112,"3,669"
15714,"2,819","108,240"
15717,"4,664","205,143"
15722,"1,076","45,007"
15724,"1,016","38,456"
15725,674,"29,058"
15728,"1,642","60,686"
15729,634,"22,493"
15732,787,"31,700"
15742,423,"15,542"
15747,877,"42,942"
15748,"3,387","134,495"
15753,196,"6,207"
15757,730,"24,892"
15759,"1,166","47,492"
15762,430,"19,571"
15765,831,"39,427"
15767,"6,343","264,004"
15771,409,"16,999"
15772,699,"23,350"
15773,181,"7,128"
15774,"1,500","69,103"
15801,"9,274","437,880"
15823,727,"27,433"
15824,"2,544","108,966"
15825,"4,534","180,058"
15827,158,"4,381"
15828,142,"4,458"
15829,604,"24,854"
15832,144,"5,191"
15834,"2,202","78,680"
15840,994,"34,495"
15845,"1,598","58,542"
15846,"1,599","63,342"
15848,476,"17,118"
15849,664,"22,073"
15851,"3,144","106,065"
15853,"3,253","122,556"
15856,441,"18,516"
15857,"6,733","287,860"
15860,541,"20,021"
15864,890,"33,447"
15865,581,"19,383"
15866,101,"3,552"
15868,700,"26,602"
15870,675,"25,995"
15901,"1,590","34,051"
15902,"5,546","162,137"
15904,"7,429","390,923"
15905,"10,403","554,470"
15906,"4,938","147,612"
15909,"2,673","99,047"
15920,491,"19,709"
15923,764,"31,143"
15924,478,"16,871"
15926,"1,266","50,379"
15927,543,"19,564"
15928,988,"49,721"
15931,"4,106","204,473"
15935,"1,292","52,086"
15936,723,"26,819"
15938,"1,159","48,885"
15940,795,"38,724"
15942,"1,042","45,159"
15943,"1,729","62,351"
15944,"1,487","65,002"
15945,123,"4,084"
15946,"3,272","131,501"
15949,347,"11,498"
15952,664,"29,475"
15954,992,"37,572"
15955,921,"38,657"
15956,"1,325","46,728"
15957,251,"9,447"
15958,"1,050","50,052"
15961,445,"16,199"
15963,"5,266","212,306"
16001,"19,764","886,045"
16002,"7,472","414,543"
16020,552,"23,099"
16023,"2,132","90,108"
16025,"2,635","119,463"
16028,873,"32,769"
16033,"3,080","153,380"
16034,908,"38,897"
16037,"2,208","130,990"
16038,"1,554","64,031"
16040,429,"15,653"
16041,885,"37,106"
16045,608,"19,352"
16046,"6,484","634,128"
16049,"1,407","54,172"
16050,655,"26,310"
16051,"1,586","84,942"
16052,"1,260","59,185"
16053,"2,016","111,476"
16055,"4,094","233,662"
16056,"2,489","121,960"
16057,"4,614","218,786"
16059,"4,022","239,040"
16061,"1,310","56,267"
16063,"3,734","193,769"
16066,"13,418","1,059,925"
16101,"14,526","533,153"
16102,"2,516","99,440"
16105,"7,524","415,178"
16110,169,"6,122"
16111,483,"16,142"
16112,775,"30,663"
16114,284,"10,262"
16115,"1,621","70,336"
16116,"1,346","52,534"
16117,"8,189","334,284"
16120,"1,054","45,580"
16121,"2,033","56,898"
16123,"1,141","56,915"
16124,884,"35,603"
16125,"7,816","302,354"
16127,"6,496","297,714"
16130,920,"32,294"
16131,427,"14,394"
16133,739,"30,263"
16134,"1,757","65,138"
16137,"5,432","238,574"
16141,852,"38,172"
16142,"2,409","122,963"
16143,"1,304","54,684"
16145,"1,232","49,436"
16146,"5,917","194,097"
16148,"8,624","416,418"
16150,"3,640","152,434"
16153,"1,222","50,443"
16154,"1,292","53,476"
16156,"1,484","65,941"
16157,"1,675","65,586"
16159,"2,409","102,661"
16201,"8,200","360,702"
16210,432,"15,981"
16214,"3,087","151,121"
16218,515,"25,047"
16222,"1,043","41,300"
16224,510,"20,268"
16226,"3,960","149,892"
16228,174,"6,544"
16229,"2,621","136,684"
16232,"1,986","71,435"
16233,528,"20,529"
16235,624,"29,223"
16239,775,"26,012"
16240,696,"27,112"
16242,"1,950","80,474"
16248,"1,460","61,044"
16249,961,"40,522"
16254,"1,549","70,549"
16255,837,"32,695"
16256,572,"19,643"
16258,858,"28,717"
16259,857,"33,166"
16260,115,"3,763"
16262,"1,314","58,530"
16301,"7,339","273,396"
16311,222,"7,993"
16313,940,"35,297"
16314,"2,574","97,851"
16316,"2,676","115,845"
16317,710,"26,486"
16319,665,"27,360"
16323,"7,528","302,030"
16326,200,"8,689"
16327,"1,238","45,474"
16328,98,"3,327"
16329,255,"9,305"
16334,204,"9,725"
16335,"12,447","547,349"
16340,871,"32,010"
16341,930,"36,053"
16342,"1,253","38,492"
16345,"1,820","91,348"
16346,"1,483","59,620"
16347,"1,043","39,321"
16350,"1,116","41,856"
16351,805,"24,509"
16353,"1,331","45,725"
16354,"4,792","172,781"
16360,574,"21,219"
16362,522,"18,131"
16364,524,"20,622"
16365,"9,356","420,553"
16371,"1,456","55,115"
16373,"1,545","61,915"
16374,828,"32,265"
16401,"2,000","71,612"
16402,334,"12,146"
16403,"2,568","102,465"
16404,"1,303","45,641"
16405,372,"12,207"
16406,"1,486","53,782"
16407,"4,719","171,954"
16410,878,"37,368"
16411,690,"24,081"
16412,"4,288","214,001"
16415,"4,322","320,792"
16417,"3,976","172,507"
16420,291,"9,484"
16421,"1,178","53,948"
16423,"1,973","72,241"
16424,"2,081","68,771"
16426,"1,923","89,841"
16428,"6,067","269,748"
16433,"2,407","104,001"
16434,"1,008","31,344"
16435,906,"30,818"
16436,331,"9,907"
16438,"3,447","122,063"
16440,443,"17,503"
16441,"4,716","214,057"
16442,"1,342","58,886"
16443,654,"22,822"
16501,545,"12,489"
16502,"7,234","187,402"
16503,"5,763","117,860"
16504,"7,817","262,788"
16505,"9,223","568,113"
16506,"11,892","712,257"
16507,"4,057","115,949"
16508,"8,234","307,108"
16509,"13,441","676,241"
16510,"11,820","493,787"
16511,"5,377","224,238"
16601,"14,489","557,033"
16602,"13,662","518,288"
16611,"1,115","45,209"
16613,707,"29,508"
16617,"1,302","52,824"
16621,304,"11,390"
16622,123,"4,381"
16623,198,"8,256"
16625,"1,533","52,629"
16627,922,"30,842"
16630,"2,186","93,558"
16635,"5,589","282,769"
16636,343,"15,995"
16637,"1,160","38,609"
16639,436,"15,128"
16640,425,"19,507"
16641,"1,280","49,259"
16646,"1,177","44,172"
16647,371,"16,021"
16648,"7,562","484,189"
16650,793,"29,120"
16651,"1,570","56,209"
16652,"6,441","275,678"
16655,711,"26,034"
16656,537,"17,387"
16657,628,"23,484"
16659,146,"12,985"
16661,420,"14,685"
16662,"2,601","107,437"
16664,841,"35,760"
16666,"1,337","46,024"
16667,657,"23,459"
16668,"1,602","63,136"
16669,"1,007","42,465"
16673,"2,521","108,107"
16674,284,"9,285"
16678,"1,217","46,570"
16679,326,"10,896"
16680,233,"8,726"
16683,222,"10,608"
16685,124,"4,371"
16686,"4,423","162,986"
16689,211,"7,104"
16691,161,"6,058"
16692,328,"11,512"
16693,"1,882","68,669"
16695,433,"16,257"
16701,"7,675","336,139"
16720,640,"23,894"
16726,234,"8,445"
16727,203,"10,046"
16729,364,"14,210"
16731,"1,306","50,185"
16732,209,"8,199"
16735,"2,818","113,311"
16738,635,"23,991"
16740,548,"19,853"
16743,"1,817","72,295"
16744,174,"6,148"
16745,280,"11,004"
16746,535,"18,088"
16748,"1,299","49,241"
16749,"1,832","74,872"
16750,210,"7,759"
16801,"13,070","791,163"
16802,326,"7,084"
16803,"9,168","561,762"
16820,464,"17,645"
16821,174,"5,771"
16822,"1,066","42,510"
16823,"11,356","508,712"
16827,"2,220","157,747"
16828,"2,153","107,624"
16829,333,"12,794"
16830,"6,273","246,225"
16832,197,"7,278"
16833,"2,361","85,952"
16836,548,"18,782"
16838,852,"31,109"
16839,200,"7,263"
16840,231,"7,552"
16841,"2,392","98,954"
16844,"1,270","57,158"
16845,326,"12,281"
16852,140,"4,428"
16854,495,"17,779"
16858,"1,650","64,634"
16859,247,"8,075"
16860,164,"5,594"
16861,137,"3,630"
16863,362,"13,807"
16865,871,"49,828"
16866,"3,752","147,163"
16870,"3,272","245,670"
16872,511,"16,744"
16874,607,"24,090"
16875,"1,699","81,696"
16877,826,"46,495"
16878,874,"33,667"
16879,217,"6,789"
16881,982,"34,937"
16882,168,"5,647"
16901,"4,706","209,000"
16912,881,"32,242"
16914,"1,000","50,906"
16915,"2,579","112,568"
16917,648,"26,258"
16920,871,"29,287"
16921,247,"9,689"
16922,872,"33,022"
16923,565,"20,537"
16925,"1,454","60,147"
16926,392,"16,685"
16927,227,"7,848"
16928,607,"22,080"
16929,"1,035","40,090"
16930,589,"27,894"
16932,305,"12,895"
16933,"2,637","117,665"
16935,579,"25,320"
16936,961,"42,765"
16938,350,"12,008"
16942,365,"12,845"
16943,223,"7,337"
16946,"1,202","45,398"
16947,"1,993","94,414"
16948,691,"26,480"
16950,"1,431","53,534"
17002,263,"8,365"
17003,"5,301","268,514"
17004,"1,870","66,419"
17006,478,"16,854"
17007,"2,848","179,598"
17009,990,"32,373"
17011,"16,718","1,031,296"
17013,"16,184","782,815"
17015,"10,787","621,150"
17017,834,"36,151"
17018,"2,324","121,927"
17019,"8,743","498,661"
17020,"4,424","202,691"
17021,461,"17,762"
17022,"13,833","726,150"
17023,"1,630","72,187"
17024,864,"42,537"
17025,"8,789","470,180"
17026,"1,768","79,911"
17028,"1,884","85,421"
17029,169,"4,614"
17030,427,"16,166"
17032,"3,940","189,965"
17033,"7,526","493,247"
17034,"1,375","47,811"
17035,355,"12,197"
17036,"11,373","836,828"
17037,448,"16,938"
17038,"3,957","170,182"
17040,"1,200","55,203"
17042,"18,031","879,691"
17043,"3,420","205,934"
17044,"9,458","355,509"
17045,"1,201","52,920"
17046,"14,009","492,659"
17047,"1,103","45,631"
17048,"1,640","61,807"
17049,"1,432","63,555"
17050,"16,826","1,246,240"
17051,"1,906","76,866"
17052,686,"24,566"
17053,"2,626","128,651"
17055,"18,368","1,106,219"
17057,"10,950","505,464"
17058,805,"27,686"
17059,"3,283","142,784"
17060,540,"16,852"
17061,"3,252","143,245"
17062,"1,669","76,069"
17063,"1,440","50,320"
17065,"2,085","92,470"
17066,"2,219","72,073"
17067,"6,775","308,760"
17068,"2,015","88,413"
17070,"8,627","442,900"
17073,"2,402","113,922"
17074,"3,541","149,486"
17078,"10,653","571,162"
17082,"1,538","57,981"
17084,"1,974","90,993"
17086,659,"25,108"
17087,"1,295","60,355"
17090,"2,561","121,678"
17094,"1,043","44,119"
17098,"1,172","46,444"
17099,563,"18,437"
17101,"1,023","34,636"
17102,"3,907","146,099"
17103,"6,022","165,132"
17104,"8,928","254,427"
17109,"12,483","506,409"
17110,"13,141","690,781"
17111,"15,837","861,494"
17112,"17,921","1,144,077"
17113,"5,663","212,348"
17201,"13,749","585,421"
17202,"13,098","693,662"
17211,212,"7,466"
17212,279,"11,977"
17213,249,"10,539"
17214,629,"30,146"
17215,155,"5,542"
17219,160,"6,140"
17220,230,"9,473"
17221,315,"11,140"
17222,"5,251","249,339"
17223,130,"4,970"
17224,861,"34,518"
17225,"8,829","460,378"
17228,563,"23,345"
17229,590,"22,667"
17233,"2,480","102,006"
17236,"4,009","186,289"
17237,750,"31,000"
17238,868,"37,031"
17239,107,"4,422"
17240,"1,504","66,506"
17241,"5,817","245,348"
17243,576,"22,763"
17244,"1,077","45,080"
17246,124,"5,146"
17252,"1,811","75,240"
17255,475,"20,276"
17257,"11,173","485,377"
17260,493,"17,602"
17262,464,"19,560"
17264,"1,040","38,699"
17265,217,"9,478"
17266,290,"12,542"
17267,"1,292","52,041"
17268,"13,107","601,147"
17271,201,"8,074"
17301,"2,021","91,446"
17302,"1,321","63,123"
17304,"1,274","58,358"
17307,"2,641","116,234"
17309,982,"44,210"
17313,"5,056","245,084"
17314,"2,568","131,171"
17315,"12,546","582,005"
17316,"3,891","204,777"
17319,"5,275","286,931"
17320,"3,900","211,138"
17321,"1,063","59,136"
17322,"2,823","145,673"
17324,"2,190","96,059"
17325,"12,549","649,727"
17327,"3,743","198,124"
17329,"1,285","76,525"
17331,"25,737","1,302,865"
17339,"3,426","234,534"
17340,"5,243","258,711"
17344,"1,732","64,731"
17345,"3,831","159,901"
17347,"2,842","154,930"
17349,"3,869","262,560"
17350,"6,158","264,365"
17352,621,"33,239"
17353,"1,531","76,351"
17356,"10,758","527,325"
17360,"2,572","152,820"
17361,"2,759","166,653"
17362,"6,643","347,307"
17363,"4,480","274,222"
17364,"1,896","82,637"
17365,"1,317","75,503"
17366,"2,585","109,372"
17368,"3,667","181,886"
17370,"2,813","131,218"
17372,"1,968","95,983"
17401,"7,351","168,671"
17402,"16,412","972,884"
17403,"17,316","1,010,812"
17404,"17,364","878,785"
17406,"11,338","577,071"
17407,"1,015","63,034"
17408,"11,063","580,285"
17501,"2,234","99,767"
17502,"1,231","59,442"
17505,735,"37,756"
17508,596,"30,001"
17509,"1,792","83,409"
17512,"8,509","346,102"
17516,"2,217","123,345"
17517,"7,047","359,246"
17518,507,"23,797"
17519,"2,511","121,322"
17520,"2,410","113,604"
17522,"15,136","707,125"
17527,"2,810","128,942"
17529,"1,573","65,920"
17532,"1,547","76,752"
17535,972,"41,967"
17536,"1,085","50,178"
17538,"3,136","187,584"
17540,"4,591","217,799"
17543,"19,986","1,316,819"
17545,"10,328","541,667"
17547,"3,487","166,362"
17551,"3,752","205,977"
17552,"8,916","482,141"
17554,"3,688","178,121"
17555,"2,967","133,126"
17557,"6,572","309,784"
17560,"2,330","99,296"
17562,"1,757","67,479"
17563,"1,563","67,069"
17565,"1,275","66,426"
17566,"5,138","238,655"
17569,"2,665","145,726"
17572,"1,558","62,870"
17576,139,"6,237"
17578,"2,909","141,087"
17579,"2,832","146,517"
17581,610,"25,996"
17582,"1,019","54,467"
17584,"4,472","247,109"
17601,"25,123","1,659,065"
17602,"23,182","920,379"
17603,"29,876","1,331,152"
17701,"19,527","774,635"
17702,"5,212","208,828"
17724,"1,700","64,104"
17728,"2,554","119,483"
17737,"2,997","126,014"
17740,"5,963","243,612"
17744,"1,499","55,823"
17745,"6,986","276,911"
17747,"1,150","43,541"
17751,"3,259","132,406"
17752,"2,150","84,606"
17754,"6,287","330,726"
17756,"5,379","238,334"
17758,463,"17,039"
17760,265,"10,134"
17764,948,"31,797"
17765,475,"17,245"
17768,133,"4,674"
17771,"1,485","60,423"
17772,"1,096","44,910"
17774,521,"20,802"
17776,120,"5,349"
17777,"3,144","127,467"
17801,"7,754","300,841"
17810,868,"34,867"
17812,643,"22,097"
17813,875,"32,336"
17814,"2,097","87,094"
17815,"11,449","554,336"
17820,"2,757","115,628"
17821,"8,955","498,787"
17823,550,"23,556"
17824,"2,030","110,725"
17827,391,"14,995"
17830,936,"40,351"
17834,"1,657","65,891"
17837,"6,775","473,578"
17841,"1,896","67,780"
17842,"3,645","139,051"
17844,"4,478","181,988"
17845,926,"31,899"
17846,"1,716","85,028"
17847,"5,574","219,556"
17851,"3,510","114,024"
17853,"1,309","49,091"
17855,500,"21,410"
17856,"1,672","67,606"
17857,"3,855","183,553"
17859,"1,437","67,211"
17860,"1,032","52,530"
17862,230,"6,449"
17864,976,"36,809"
17866,"3,849","131,684"
17870,"6,018","305,648"
17872,"4,371","136,889"
17876,825,"32,654"
17878,702,"30,773"
17881,691,"22,791"
17886,435,"16,157"
17888,148,"5,939"
17889,"1,345","74,731"
17901,"10,993","548,548"
17921,"2,849","124,933"
17922,"2,244","119,630"
17925,173,"6,736"
17929,787,"34,132"
17931,"2,500","99,636"
17934,187,"9,743"
17935,751,"24,262"
17938,"1,230","55,575"
17941,384,"15,800"
17948,"2,174","71,563"
17949,122,"3,993"
17954,"2,201","74,384"
17957,162,"6,948"
17959,689,"25,408"
17960,"1,864","92,201"
17961,"3,313","269,666"
17963,"4,506","193,308"
17964,334,"14,171"
17965,"1,005","36,227"
17967,"1,195","53,817"
17968,163,"6,599"
17970,"1,613","51,700"
17972,"5,375","234,158"
17976,"2,841","93,936"
17978,215,"8,155"
17980,"1,673","67,185"
17981,"1,216","41,949"
17983,706,"31,865"
17985,583,"26,118"
18011,"2,774","147,165"
18013,"8,393","410,578"
18014,"5,758","286,100"
18015,"13,568","712,726"
18017,"18,748","1,094,431"
18018,"16,217","683,696"
18020,"10,023","651,048"
18031,"3,649","228,108"
18032,"4,756","193,006"
18034,"3,467","316,048"
18035,172,"11,038"
18036,"6,329","465,546"
18037,"3,687","181,886"
18038,"1,515","75,706"
18040,"7,506","549,287"
18041,"2,812","147,670"
18042,"18,198","777,594"
18045,"13,410","846,293"
18049,"9,242","530,929"
18051,"1,740","143,545"
18052,"14,137","633,497"
18053,"1,103","56,294"
18054,"2,221","138,815"
18055,"5,846","347,581"
18056,515,"18,477"
18058,"3,912","178,749"
18059,616,"34,461"
18062,"11,689","814,796"
18064,"11,878","728,468"
18066,"2,937","171,989"
18067,"9,486","477,436"
18069,"3,909","318,191"
18070,427,"22,364"
18071,"5,057","223,890"
18072,"3,380","156,007"
18073,"4,162","263,604"
18074,"2,521","161,264"
18076,"1,437","66,429"
18077,"1,103","84,116"
18078,"3,515","246,975"
18080,"5,748","266,619"
18087,468,"21,697"
18088,"4,309","212,671"
18091,"2,931","149,300"
18092,"1,531","107,222"
18101,"1,458","30,709"
18102,"23,874","576,290"
18103,"23,360","1,128,652"
18104,"21,125","1,337,308"
18106,"3,508","243,741"
18109,"8,664","276,217"
18201,"12,986","415,525"
18202,"5,602","216,020"
18210,"3,392","148,455"
18211,672,"34,512"
18214,"1,087","54,928"
18216,626,"22,110"
18218,"1,073","35,277"
18222,"4,352","235,352"
18224,"2,993","103,620"
18229,"4,101","183,990"
18231,249,"8,224"
18232,"1,671","48,124"
18235,"8,970","390,861"
18237,"1,560","53,149"
18240,"1,775","80,704"
18241,324,"10,891"
18249,"1,900","118,738"
18250,"1,487","57,921"
18252,"5,279","200,100"
18255,"2,110","88,384"
18301,"11,286","577,383"
18302,"7,045","382,241"
18321,"1,063","47,934"
18322,"1,436","64,875"
18324,"4,309","201,113"
18325,"1,134","53,438"
18326,"2,099","113,626"
18328,"3,674","177,282"
18330,"3,840","186,804"
18331,417,"17,403"
18332,"1,370","65,820"
18333,569,"23,971"
18334,"1,663","80,832"
18336,"1,628","75,804"
18337,"6,868","403,819"
18343,"1,963","110,183"
18344,"1,755","72,301"
18346,"1,608","68,924"
18347,"1,432","64,895"
18350,845,"55,286"
18352,394,"18,173"
18353,"5,795","294,599"
18354,612,"29,167"
18355,693,"35,293"
18360,"12,942","684,179"
18370,582,"29,464"
18371,304,"18,623"
18372,"1,456","75,530"
18403,"3,533","174,513"
18405,"1,082","44,368"
18407,"6,371","238,014"
18411,"10,775","789,052"
18414,"2,675","194,181"
18415,557,"24,767"
18417,500,"25,725"
18419,"2,060","107,035"
18421,"2,065","85,496"
18424,"2,401","112,968"
18425,527,"20,622"
18426,"1,840","84,914"
18428,"5,113","262,107"
18431,"6,194","279,815"
18433,"3,306","149,058"
18434,"2,052","81,069"
18435,481,"24,850"
18436,"5,967","285,498"
18437,105,"3,343"
18438,556,"34,500"
18439,246,"11,927"
18441,100,"3,550"
18443,235,"10,277"
18444,"6,423","349,408"
18445,"1,003","44,792"
18446,"1,293","56,447"
18447,"5,320","228,634"
18451,255,"14,730"
18452,"2,335","105,598"
18453,478,"24,335"
18456,222,"9,114"
18458,"1,346","75,803"
18460,110,"4,412"
18461,157,"5,820"
18462,198,"8,992"
18463,107,"4,503"
18464,650,"39,257"
18465,598,"25,110"
18466,"6,828","284,656"
18469,207,"9,851"
18470,570,"25,531"
18472,"1,948","83,549"
18503,294,"8,744"
18504,"10,200","361,385"
18505,"9,421","336,214"
18507,"2,568","154,761"
18508,"5,205","162,288"
18509,"5,698","250,494"
18510,"4,745","174,789"
18512,"6,482","274,721"
18517,"2,562","92,862"
18518,"4,268","188,090"
18519,"2,716","102,110"
18603,"8,990","361,170"
18610,"2,166","101,372"
18612,"7,145","449,524"
18614,"1,194","48,903"
18615,937,"52,813"
18616,327,"13,439"
18617,805,"24,900"
18618,"1,890","100,162"
18619,115,"4,595"
18621,"2,420","104,604"
18622,129,"6,173"
18623,"1,121","51,520"
18628,117,"3,492"
18629,857,"41,850"
18630,"1,235","49,047"
18632,171,"5,077"
18634,"6,625","242,758"
18635,"1,878","80,948"
18636,415,"16,331"
18640,"8,357","360,582"
18641,"3,429","138,484"
18642,"2,199","96,270"
18643,"6,403","288,814"
18644,"3,958","195,276"
18651,"4,321","144,467"
18655,"2,846","127,951"
18656,"1,025","46,464"
18657,"5,575","305,490"
18660,"1,834","83,502"
18661,"2,710","111,873"
18701,699,"21,169"
18702,"18,173","687,792"
18704,"15,854","691,627"
18705,"7,542","294,928"
18706,"7,979","300,413"
18707,"7,681","499,374"
18708,"4,471","343,481"
18709,"1,480","48,680"
18801,"3,873","193,337"
18810,"2,685","125,255"
18812,746,"59,708"
18817,126,"5,081"
18818,621,"44,676"
18821,557,"21,857"
18822,"1,674","71,056"
18823,167,"6,850"
18824,631,"27,275"
18826,812,"34,469"
18828,163,"5,277"
18829,351,"17,643"
18830,173,"12,519"
18831,567,"22,686"
18832,795,"27,452"
18833,851,"34,156"
18834,"1,617","73,297"
18837,"1,326","56,853"
18840,"4,937","232,905"
18842,144,"6,206"
18844,348,"16,252"
