PENNSYLVANIA,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2010                                                                                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],,,
"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI)
15034,"$50,000 under $75,000",120,7305
15034,"$75,000 under $100,000",74,6366
15034,"$100,000 under $200,000",29,3529
15034,"$200,000 or more",**,**
,,,
15035,,"1,125","40,169"
15035,"$1 under $25,000",526,6857
15035,"$25,000 under $50,000",323,11531
15035,"$50,000 under $75,000",153,9202
15035,"$75,000 under $100,000",81,6844
15035,"$100,000 under $200,000",42,5735
15035,"$200,000 or more",**,**
,,,
15037,,"5,560","270,628"
15037,"$1 under $25,000",2073,24790
15037,"$25,000 under $50,000",1353,49599
15037,"$50,000 under $75,000",904,55708
15037,"$75,000 under $100,000",645,55873
15037,"$100,000 under $200,000",536,67594
15037,"$200,000 or more",49,17064
,,,
15042,,"4,273","213,318"
15042,"$1 under $25,000",1565,19324
15042,"$25,000 under $50,000",994,36181
15042,"$50,000 under $75,000",695,43176
15042,"$75,000 under $100,000",521,44997
15042,"$100,000 under $200,000",460,58801
15042,"$200,000 or more",38,10839
,,,
15043,,"1,032","50,681"
15043,"$1 under $25,000",379,4384
15043,"$25,000 under $50,000",256,9495
15043,"$50,000 under $75,000",168,10590
15043,"$75,000 under $100,000",128,10974
15043,"$100,000 under $200,000",101,15238
15043,"$200,000 or more",**,**
,,,
15044,,"13,323","1,361,296"
15044,"$1 under $25,000",3947,38763
15044,"$25,000 under $50,000",2096,76906
15044,"$50,000 under $75,000",1709,105822
15044,"$75,000 under $100,000",1490,129916
15044,"$100,000 under $200,000",2666,364256
15044,"$200,000 or more",1415,645633
,,,
15045,,"2,183","71,780"
15045,"$1 under $25,000",1097,13020
15045,"$25,000 under $50,000",607,21807
15045,"$50,000 under $75,000",290,17703
15045,"$75,000 under $100,000",115,9839
15045,"$100,000 under $200,000",74,9411
15045,"$200,000 or more",**,**
,,,
15046,,"1,338","65,337"
15046,"$1 under $25,000",506,6235
15046,"$25,000 under $50,000",336,12068
15046,"$50,000 under $75,000",220,13779
15046,"$75,000 under $100,000",142,12142
15046,"$100,000 under $200,000",134,21113
15046,"$200,000 or more",**,**
,,,
15049,,574,"22,391"
15049,"$1 under $25,000",240,2847
15049,"$25,000 under $50,000",178,6485
15049,"$50,000 under $75,000",78,4812
15049,"$75,000 under $100,000",46,3940
15049,"$100,000 under $200,000",32,4307
15049,"$200,000 or more",**,**
,,,
15050,,"1,281","76,402"
15050,"$1 under $25,000",427,4816
15050,"$25,000 under $50,000",300,10948
15050,"$50,000 under $75,000",230,14091
15050,"$75,000 under $100,000",147,12748
15050,"$100,000 under $200,000",177,33799
15050,"$200,000 or more",**,**
,,,
15051,,230,"10,800"
15051,"$1 under $25,000",92,1158
15051,"$25,000 under $50,000",70,2535
15051,"$50,000 under $75,000",68,7107
15051,"$75,000 under $100,000",**,**
15051,"$100,000 under $200,000",**,**
15051,"$200,000 or more",**,**
,,,
15052,,"1,713","78,207"
15052,"$1 under $25,000",617,7816
15052,"$25,000 under $50,000",480,17258
15052,"$50,000 under $75,000",289,17871
15052,"$75,000 under $100,000",177,15229
15052,"$100,000 under $200,000",150,20033
15052,"$200,000 or more",**,**
,,,
15053,,119,"4,148"
15053,"$1 under $25,000",55,686
15053,"$25,000 under $50,000",64,3462
15053,"$50,000 under $75,000",**,**
15053,"$75,000 under $100,000",**,**
15053,"$100,000 under $200,000",**,**
15053,"$200,000 or more",**,**
,,,
15055,,882,"47,331"
15055,"$1 under $25,000",262,3342
15055,"$25,000 under $50,000",259,9451
15055,"$50,000 under $75,000",155,9407
15055,"$75,000 under $100,000",104,9038
15055,"$100,000 under $200,000",102,16093
15055,"$200,000 or more",**,**
,,,
15056,,546,"24,722"
15056,"$1 under $25,000",239,2977
15056,"$25,000 under $50,000",161,5722
15056,"$50,000 under $75,000",61,3713
15056,"$75,000 under $100,000",45,3840
15056,"$100,000 under $200,000",40,8470
15056,"$200,000 or more",**,**
,,,
15057,,"6,569","426,503"
15057,"$1 under $25,000",2192,24279
15057,"$25,000 under $50,000",1367,49543
15057,"$50,000 under $75,000",923,57508
15057,"$75,000 under $100,000",734,64309
15057,"$100,000 under $200,000",1138,152534
15057,"$200,000 or more",215,78330
,,,
15059,,"1,902","70,255"
15059,"$1 under $25,000",869,10454
15059,"$25,000 under $50,000",548,19582
15059,"$50,000 under $75,000",262,16035
15059,"$75,000 under $100,000",133,11561
15059,"$100,000 under $200,000",90,12623
15059,"$200,000 or more",**,**
,,,
15061,,"6,385","291,091"
15061,"$1 under $25,000",2544,30172
15061,"$25,000 under $50,000",1663,60222
15061,"$50,000 under $75,000",966,59224
15061,"$75,000 under $100,000",616,53511
15061,"$100,000 under $200,000",536,67028
15061,"$200,000 or more",60,20934
,,,
15062,,"3,506","127,274"
15062,"$1 under $25,000",1690,20008
15062,"$25,000 under $50,000",898,32018
15062,"$50,000 under $75,000",497,30430
15062,"$75,000 under $100,000",253,21766
15062,"$100,000 under $200,000",168,23052
15062,"$200,000 or more",**,**
,,,
15063,,"5,724","259,255"
15063,"$1 under $25,000",2334,27810
15063,"$25,000 under $50,000",1412,51209
15063,"$50,000 under $75,000",923,56859
15063,"$75,000 under $100,000",547,47040
15063,"$100,000 under $200,000",448,56574
15063,"$200,000 or more",60,19763
,,,
15064,,199,"8,542"
15064,"$1 under $25,000",87,1111
15064,"$25,000 under $50,000",63,2205
15064,"$50,000 under $75,000",49,5226
15064,"$75,000 under $100,000",**,**
15064,"$100,000 under $200,000",**,**
15064,"$200,000 or more",**,**
,,,
15065,,"5,754","285,005"
15065,"$1 under $25,000",2324,27332
