PENNSYLVANIA,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2010                                                                                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],,,
"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI)
,,,
15774,,"1,507","92,720"
15774,"$1 under $25,000",580,6996
15774,"$25,000 under $50,000",389,14145
15774,"$50,000 under $75,000",262,16171
15774,"$75,000 under $100,000",180,15472
15774,"$100,000 under $200,000",96,39936
15774,"$200,000 or more",**,**
,,,
15801,,"9,502","468,997"
15801,"$1 under $25,000",4406,49045
15801,"$25,000 under $50,000",2102,76372
15801,"$50,000 under $75,000",1305,80274
15801,"$75,000 under $100,000",789,67713
15801,"$100,000 under $200,000",684,89478
15801,"$200,000 or more",216,106115
,,,
15823,,746,"31,172"
15823,"$1 under $25,000",288,3476
15823,"$25,000 under $50,000",215,7817
15823,"$50,000 under $75,000",** 129,"** 7,725"
15823,"$75,000 under $100,000",** 73,"** 6,155"
15823,"$100,000 under $200,000",** 41,"** 5,999"
15823,"$200,000 or more",**,**
,,,
15824,,2554,"123,632"
15824,"$1 under $25,000",1149,13750
15824,"$25,000 under $50,000",615,22432
15824,"$50,000 under $75,000",427,26299
15824,"$75,000 under $100,000",201,17257
15824,"$100,000 under $200,000",132,16737
15824,"$200,000 or more",** 30,"** 27,157"
,,,
15825,,"4,554","193,851"
15825,"$1 under $25,000",2029,23856
15825,"$25,000 under $50,000",1165,42288
15825,"$50,000 under $75,000",712,43619
15825,"$75,000 under $100,000",350,30123
15825,"$100,000 under $200,000",240,30725
15825,"$200,000 or more",58,23240
,,,
15827,,184,"5,489"
15827,"$1 under $25,000",95,1216
15827,"$25,000 under $50,000",59,2205
15827,"$50,000 under $75,000",30,2068
15827,"$75,000 under $100,000",**,**
15827,"$100,000 under $200,000",**,**
15827,"$200,000 or more",0,0
,,,
15828,,145,"4,916"
15828,"$1 under $25,000",68,805
15828,"$25,000 under $50,000",44,1654
15828,"$50,000 under $75,000",33,2457
15828,"$75,000 under $100,000",**,**
15828,"$100,000 under $200,000",**,**
15828,"$200,000 or more",0,0
,,,
15829,,603,"25,383"
15829,"$1 under $25,000",250,3213
15829,"$25,000 under $50,000",176,6217
15829,"$50,000 under $75,000",91,5681
15829,"$75,000 under $100,000",** 51,"** 4,459"
15829,"$100,000 under $200,000",** 35,"** 5,813"
15829,"$200,000 or more",**,**
,,,
15832,,150,"5,985"
15832,"$1 under $25,000",64,771
15832,"$25,000 under $50,000",39,1480
15832,"$50,000 under $75,000",47,3734
15832,"$75,000 under $100,000",**,**
15832,"$100,000 under $200,000",**,**
15832,"$200,000 or more",**,**
,,,
15834,,2237,"85,436"
15834,"$1 under $25,000",1033,12495
15834,"$25,000 under $50,000",629,23196
15834,"$50,000 under $75,000",308,18842
15834,"$75,000 under $100,000",** 150,"** 12,904"
15834,"$100,000 under $200,000",** 117,"** 17,999"
15834,"$200,000 or more",**,**
,,,
15840,,"1,029","37,362"
15840,"$1 under $25,000",501,5990
15840,"$25,000 under $50,000",271,9909
15840,"$50,000 under $75,000",142,8871
15840,"$75,000 under $100,000",65,5559
15840,"$100,000 under $200,000",50,7033
15840,"$200,000 or more",**,**
,,,
15845,,"1,616","61,015"
15845,"$1 under $25,000",745,8322
15845,"$25,000 under $50,000",394,14448
15845,"$50,000 under $75,000",261,15885
15845,"$75,000 under $100,000",133,11427
15845,"$100,000 under $200,000",83,10933
15845,"$200,000 or more",**,**
,,,
15846,,"1,645","75,144"
15846,"$1 under $25,000",680,8003
15846,"$25,000 under $50,000",429,15948
15846,"$50,000 under $75,000",271,16806
15846,"$75,000 under $100,000",166,14090
15846,"$100,000 under $200,000",99,20297
15846,"$200,000 or more",**,**
,,,
15848,,467,"18,506"
15848,"$1 under $25,000",213,2679
15848,"$25,000 under $50,000",114,4090
15848,"$50,000 under $75,000",75,4661
15848,"$75,000 under $100,000",39,3313
15848,"$100,000 under $200,000",26,3763
15848,"$200,000 or more",**,**
,,,
15849,,670,"24,210"
15849,"$1 under $25,000",327,3792
15849,"$25,000 under $50,000",164,5907
15849,"$50,000 under $75,000",104,6338
15849,"$75,000 under $100,000",49,4146
15849,"$100,000 under $200,000",26,4027
15849,"$200,000 or more",**,**
,,,
15851,,3059,"115,996"
15851,"$1 under $25,000",1426,16735
15851,"$25,000 under $50,000",829,30674
15851,"$50,000 under $75,000",449,27214
15851,"$75,000 under $100,000",215,18287
15851,"$100,000 under $200,000",140,23086
15851,"$200,000 or more",**,**
,,,
15853,,"3,264","138,995"
15853,"$1 under $25,000",1429,17362
15853,"$25,000 under $50,000",867,31464
15853,"$50,000 under $75,000",522,32084
15853,"$75,000 under $100,000",257,22035
15853,"$100,000 under $200,000",145,18339
15853,"$200,000 or more",44,17711
,,,
15856,,451,"20,551"
15856,"$1 under $25,000",187,2103
15856,"$25,000 under $50,000",108,4112
15856,"$50,000 under $75,000",70,4243
15856,"$75,000 under $100,000",44,3739
15856,"$100,000 under $200,000",42,6354
15856,"$200,000 or more",**,**
,,,
15857,,6957,"347,507"
15857,"$1 under $25,000",2927,32947
15857,"$25,000 under $50,000",1725,62280
15857,"$50,000 under $75,000",1122,69049
15857,"$75,000 under $100,000",650,55594
15857,"$100,000 under $200,000",397,51206
15857,"$200,000 or more",** 136,"** 76,431"
,,,
15860,,561,"22,387"
15860,"$1 under $25,000",233,2798
15860,"$25,000 under $50,000",161,5956
15860,"$50,000 under $75,000",93,5670
15860,"$75,000 under $100,000",74,7963
15860,"$100,000 under $200,000",**,**
15860,"$200,000 or more",**,**
,,,
15864,,904,"35,430"
15864,"$1 under $25,000",384,4465
15864,"$25,000 under $50,000",242,8572
15864,"$50,000 under $75,000",151,9170
15864,"$75,000 under $100,000",73,6204
15864,"$100,000 under $200,000",54,7019
15864,"$200,000 or more",**,**
,,,
15865,,573,"23,568"
15865,"$1 under $25,000",285,3585
15865,"$25,000 under $50,000",154,5552
15865,"$50,000 under $75,000",77,4643
15865,"$75,000 under $100,000",57,9788
15865,"$100,000 under $200,000",**,**
15865,"$200,000 or more",**,**
,,,
15866,,100,"3,919"
15866,"$1 under $25,000",42,539
15866,"$25,000 under $50,000",23,838
15866,"$50,000 under $75,000",35,2542
15866,"$75,000 under $100,000",**,**
15866,"$100,000 under $200,000",**,**
15866,"$200,000 or more",**,**
,,,
15868,,715,"33,267"
15868,"$1 under $25,000",299,3542
15868,"$25,000 under $50,000",179,6472
15868,"$50,000 under $75,000",127,7790
15868,"$75,000 under $100,000",** 69,"** 5,939"
15868,"$100,000 under $200,000",** 41,"** 9,524"
15868,"$200,000 or more",**,**
,,,
15870,,680,"29,192"
15870,"$1 under $25,000",273,3261
15870,"$25,000 under $50,000",189,6892
15870,"$50,000 under $75,000",105,6465
15870,"$75,000 under $100,000",63,5481
15870,"$100,000 under $200,000",50,7093
15870,"$200,000 or more",**,**
,,,
15901,,1551,"34,399"
15901,"$1 under $25,000",1122,12856
15901,"$25,000 under $50,000",283,9591
15901,"$50,000 under $75,000",83,4931
15901,"$75,000 under $100,000",63,7021
15901,"$100,000 under $200,000",**,**
15901,"$200,000 or more",**,**
,,,
15902,,"5,471","163,950"
15902,"$1 under $25,000",3067,37640
15902,"$25,000 under $50,000",1422,50440
15902,"$50,000 under $75,000",607,36919
15902,"$75,000 under $100,000",254,21565
15902,"$100,000 under $200,000",** 121,"** 17,386"
15902,"$200,000 or more",**,**
,,,
15904,,"7,483","415,685"
15904,"$1 under $25,000",2940,33243
15904,"$25,000 under $50,000",1669,60958
15904,"$50,000 under $75,000",1195,73703
15904,"$75,000 under $100,000",759,65075
15904,"$100,000 under $200,000",735,94922
15904,"$200,000 or more",** 185,"** 87,784"
,,,
15905,,"10,467","572,699"
15905,"$1 under $25,000",4333,49234
15905,"$25,000 under $50,000",2337,85525
15905,"$50,000 under $75,000",1554,95701
15905,"$75,000 under $100,000",991,85410
15905,"$100,000 under $200,000",952,123748
15905,"$200,000 or more",300,133081
,,,
15906,,"4,913","150,557"
15906,"$1 under $25,000",2728,32962
15906,"$25,000 under $50,000",1226,43943
15906,"$50,000 under $75,000",611,37278
15906,"$75,000 under $100,000",226,19262
15906,"$100,000 under $200,000",122,17112
15906,"$200,000 or more",**,**
,,,
15909,,"2,605","99,147"
15909,"$1 under $25,000",1184,14393
15909,"$25,000 under $50,000",698,25057
15909,"$50,000 under $75,000",395,24365
15909,"$75,000 under $100,000",207,17699
15909,"$100,000 under $200,000",121,17633
15909,"$200,000 or more",**,**
,,,
15920,,511,"21,430"
15920,"$1 under $25,000",221,2736
15920,"$25,000 under $50,000",124,4455
15920,"$50,000 under $75,000",80,4980
15920,"$75,000 under $100,000",46,3997
15920,"$100,000 under $200,000",40,5262
15920,"$200,000 or more",**,**
,,,
15923,,754,"33,649"
15923,"$1 under $25,000",345,4060
15923,"$25,000 under $50,000",195,6994
15923,"$50,000 under $75,000",104,6492
15923,"$75,000 under $100,000",55,4790
15923,"$100,000 under $200,000",55,11313
15923,"$200,000 or more",**,**
,,,
15924,,476,"18,374"
15924,"$1 under $25,000",202,2531
15924,"$25,000 under $50,000",143,5369
15924,"$50,000 under $75,000",80,4869
15924,"$75,000 under $100,000",51,5605
15924,"$100,000 under $200,000",**,**
15924,"$200,000 or more",**,**
,,,
15926,,1278,"53,792"
15926,"$1 under $25,000",556,6742
15926,"$25,000 under $50,000",331,12122
15926,"$50,000 under $75,000",198,11885
15926,"$75,000 under $100,000",107,9029
15926,"$100,000 under $200,000",86,14014
15926,"$200,000 or more",**,**
,,,
15927,,563,"20,827"
15927,"$1 under $25,000",254,3182
15927,"$25,000 under $50,000",163,5869
15927,"$50,000 under $75,000",82,4998
15927,"$75,000 under $100,000",35,2916
15927,"$100,000 under $200,000",29,3862
15927,"$200,000 or more",**,**
,,,
15928,,1010,"54,051"
15928,"$1 under $25,000",394,4643
15928,"$25,000 under $50,000",210,7834
15928,"$50,000 under $75,000",178,11065
15928,"$75,000 under $100,000",99,8564
15928,"$100,000 under $200,000",106,13429
15928,"$200,000 or more",** 23,"** 8,516"
,,,
15931,,"4,081","237,325"
15931,"$1 under $25,000",1560,17901
15931,"$25,000 under $50,000",949,34458
15931,"$50,000 under $75,000",698,43105
15931,"$75,000 under $100,000",398,34168
15931,"$100,000 under $200,000",395,50910
15931,"$200,000 or more",81,56783
,,,
15935,,"1,268","54,566"
15935,"$1 under $25,000",513,6038
15935,"$25,000 under $50,000",316,11595
15935,"$50,000 under $75,000",237,14493
15935,"$75,000 under $100,000",106,9146
15935,"$100,000 under $200,000",96,13294
15935,"$200,000 or more",**,**
,,,
15936,,711,"29,594"
15936,"$1 under $25,000",309,3498
15936,"$25,000 under $50,000",170,6004
15936,"$50,000 under $75,000",125,7693
15936,"$75,000 under $100,000",64,5426
15936,"$100,000 under $200,000",43,6973
15936,"$200,000 or more",**,**
,,,
15938,,1156,"50,818"
15938,"$1 under $25,000",461,5571
15938,"$25,000 under $50,000",286,10410
15938,"$50,000 under $75,000",225,14017
15938,"$75,000 under $100,000",103,8896
15938,"$100,000 under $200,000",81,11924
15938,"$200,000 or more",**,**
,,,
15940,,813,"41,181"
15940,"$1 under $25,000",295,3506
15940,"$25,000 under $50,000",194,7103
15940,"$50,000 under $75,000",144,8777
15940,"$75,000 under $100,000",109,9339
15940,"$100,000 under $200,000",71,12456
15940,"$200,000 or more",**,**
,,,
15942,,1020,"45,346"
15942,"$1 under $25,000",415,4894
15942,"$25,000 under $50,000",256,9421
15942,"$50,000 under $75,000",175,10588
15942,"$75,000 under $100,000",90,7819
15942,"$100,000 under $200,000",84,12624
15942,"$200,000 or more",**,**
,,,
15943,,"1,708","63,331"
15943,"$1 under $25,000",797,9707
15943,"$25,000 under $50,000",427,15488
15943,"$50,000 under $75,000",279,17256
15943,"$75,000 under $100,000",132,11322
15943,"$100,000 under $200,000",73,9558
15943,"$200,000 or more",**,**
,,,
15944,,"1,488","67,025"
15944,"$1 under $25,000",614,7386
15944,"$25,000 under $50,000",372,13276
15944,"$50,000 under $75,000",231,14176
15944,"$75,000 under $100,000",151,13182
15944,"$100,000 under $200,000",120,19005
15944,"$200,000 or more",**,**
,,,
15945,,122,"4,220"
15945,"$1 under $25,000",52,669
15945,"$25,000 under $50,000",70,3551
15945,"$50,000 under $75,000",**,**
15945,"$75,000 under $100,000",**,**
15945,"$100,000 under $200,000",**,**
15945,"$200,000 or more",**,**
,,,
15946,,3272,"136,959"
15946,"$1 under $25,000",1397,17087
15946,"$25,000 under $50,000",870,31489
15946,"$50,000 under $75,000",** 508,"** 31,024"
15946,"$75,000 under $100,000",** 282,"** 24,364"
15946,"$100,000 under $200,000",** 185,"** 22,979"
15946,"$200,000 or more",30,10016
,,,
15949,,342,"11,795"
15949,"$1 under $25,000",164,2025
15949,"$25,000 under $50,000",83,2880
15949,"$50,000 under $75,000",58,3547
15949,"$75,000 under $100,000",37,3343
15949,"$100,000 under $200,000",**,**
15949,"$200,000 or more",**,**
,,,
15952,,685,"29,978"
15952,"$1 under $25,000",307,3687
15952,"$25,000 under $50,000",149,5563
15952,"$50,000 under $75,000",113,6982
15952,"$75,000 under $100,000",73,6389
15952,"$100,000 under $200,000",** 43,"** 7,357"
15952,"$200,000 or more",**,**
,,,
15954,,996,"38,671"
15954,"$1 under $25,000",437,4916
15954,"$25,000 under $50,000",248,9015
15954,"$50,000 under $75,000",163,10070
15954,"$75,000 under $100,000",92,7854
15954,"$100,000 under $200,000",56,6816
15954,"$200,000 or more",**,**
,,,
15955,,918,"40,494"
15955,"$1 under $25,000",353,4352
15955,"$25,000 under $50,000",250,8982
15955,"$50,000 under $75,000",158,9903
15955,"$75,000 under $100,000",84,7325
15955,"$100,000 under $200,000",73,9932
15955,"$200,000 or more",**,**
,,,
15956,,1320,"48,945"
15956,"$1 under $25,000",594,7160
15956,"$25,000 under $50,000",360,12970
15956,"$50,000 under $75,000",224,13733
15956,"$75,000 under $100,000",82,6964
15956,"$100,000 under $200,000",60,8118
15956,"$200,000 or more",**,**
,,,
15957,,250,"9,897"
15957,"$1 under $25,000",104,1270
15957,"$25,000 under $50,000",67,2423
15957,"$50,000 under $75,000",40,2433
15957,"$75,000 under $100,000",39,3771
15957,"$100,000 under $200,000",**,**
15957,"$200,000 or more",**,**
,,,
15958,,1047,"57,514"
15958,"$1 under $25,000",398,4452
15958,"$25,000 under $50,000",270,9798
15958,"$50,000 under $75,000",159,9776
15958,"$75,000 under $100,000",115,9800
15958,"$100,000 under $200,000",** 105,"** 23,688"
15958,"$200,000 or more",**,**
,,,
15961,,446,"17,065"
15961,"$1 under $25,000",189,2380
15961,"$25,000 under $50,000",138,5068
15961,"$50,000 under $75,000",65,4012
15961,"$75,000 under $100,000",28,2466
15961,"$100,000 under $200,000",26,3139
15961,"$200,000 or more",**,**
,,,
15963,,5293,"218,130"
15963,"$1 under $25,000",2386,28557
15963,"$25,000 under $50,000",1328,48000
15963,"$50,000 under $75,000",782,47764
15963,"$75,000 under $100,000",411,35470
15963,"$100,000 under $200,000",345,43786
15963,"$200,000 or more",** 41,"** 14,553"
,,,
16001,,"19,947","918,297"
16001,"$1 under $25,000",8620,102698
16001,"$25,000 under $50,000",4828,174638
16001,"$50,000 under $75,000",2897,179200
16001,"$75,000 under $100,000",1735,150008
16001,"$100,000 under $200,000",1592,203142
16001,"$200,000 or more",275,108611
,,,
16002,,"7,645","449,725"
16002,"$1 under $25,000",2835,31366
16002,"$25,000 under $50,000",1673,61235
16002,"$50,000 under $75,000",1201,74708
16002,"$75,000 under $100,000",889,76616
16002,"$100,000 under $200,000",846,109721
16002,"$200,000 or more",201,96079
,,,
16020,,562,"26,346"
16020,"$1 under $25,000",202,2310
16020,"$25,000 under $50,000",142,5260
16020,"$50,000 under $75,000",108,6585
16020,"$75,000 under $100,000",60,5207
16020,"$100,000 under $200,000",50,6984
16020,"$200,000 or more",**,**
,,,
16023,,2136,"97,369"
16023,"$1 under $25,000",881,10182
16023,"$25,000 under $50,000",506,18665
16023,"$50,000 under $75,000",332,20805
16023,"$75,000 under $100,000",215,18589
16023,"$100,000 under $200,000",179,22510
16023,"$200,000 or more",** 23,"** 6,618"
,,,
16025,,"2,588","125,699"
16025,"$1 under $25,000",966,11236
16025,"$25,000 under $50,000",624,22858
16025,"$50,000 under $75,000",443,27690
16025,"$75,000 under $100,000",267,23084
16025,"$100,000 under $200,000",264,33001
16025,"$200,000 or more",24,7830
,,,
16028,,884,"34,954"
16028,"$1 under $25,000",406,5158
16028,"$25,000 under $50,000",220,7924
16028,"$50,000 under $75,000",141,8787
16028,"$75,000 under $100,000",71,6196
16028,"$100,000 under $200,000",46,6889
16028,"$200,000 or more",**,**
,,,
16033,,3067,"167,685"
16033,"$1 under $25,000",1137,13012
16033,"$25,000 under $50,000",747,26809
16033,"$50,000 under $75,000",442,27357
16033,"$75,000 under $100,000",330,28720
16033,"$100,000 under $200,000",329,43147
16033,"$200,000 or more",** 82,"** 28,640"
,,,
16034,,920,"45,123"
16034,"$1 under $25,000",345,4221
16034,"$25,000 under $50,000",250,9122
16034,"$50,000 under $75,000",148,9129
16034,"$75,000 under $100,000",80,6938
16034,"$100,000 under $200,000",97,15713
16034,"$200,000 or more",**,**
,,,
16037,,2261,"145,805"
16037,"$1 under $25,000",771,8691
16037,"$25,000 under $50,000",467,17283
16037,"$50,000 under $75,000",337,20787
16037,"$75,000 under $100,000",261,22844
16037,"$100,000 under $200,000",331,44099
16037,"$200,000 or more",** 94,"** 32,101"
,,,
16038,,"1,553","85,771"
16038,"$1 under $25,000",651,8081
16038,"$25,000 under $50,000",441,16383
16038,"$50,000 under $75,000",248,15171
16038,"$75,000 under $100,000",127,10904
16038,"$100,000 under $200,000",86,35232
16038,"$200,000 or more",**,**
,,,
16040,,420,"16,627"
16040,"$1 under $25,000",172,2049
16040,"$25,000 under $50,000",119,4368
16040,"$50,000 under $75,000",65,3934
16040,"$75,000 under $100,000",42,3611
16040,"$100,000 under $200,000",22,2665
16040,"$200,000 or more",**,**
,,,
16041,,878,"38,887"
16041,"$1 under $25,000",340,4171
16041,"$25,000 under $50,000",226,8300
16041,"$50,000 under $75,000",140,8621
16041,"$75,000 under $100,000",98,8257
16041,"$100,000 under $200,000",74,9538
16041,"$200,000 or more",**,**
,,,
16045,,623,"18,851"
16045,"$1 under $25,000",327,3922
16045,"$25,000 under $50,000",178,6283
16045,"$50,000 under $75,000",82,5031
16045,"$75,000 under $100,000",36,3615
16045,"$100,000 under $200,000",**,**
16045,"$200,000 or more",**,**
,,,
16046,,6694,"808,304"
16046,"$1 under $25,000",1760,16901
16046,"$25,000 under $50,000",1035,38434
16046,"$50,000 under $75,000",842,52431
16046,"$75,000 under $100,000",785,68959
16046,"$100,000 under $200,000","** 1,545","** 216,020"
16046,"$200,000 or more",727,415559
,,,
16049,,"1,420","59,955"
16049,"$1 under $25,000",569,7029
16049,"$25,000 under $50,000",395,14112
16049,"$50,000 under $75,000",240,14640
16049,"$75,000 under $100,000",128,11017
16049,"$100,000 under $200,000",88,13157
16049,"$200,000 or more",**,**
,,,
16050,,653,"28,275"
16050,"$1 under $25,000",249,3034
16050,"$25,000 under $50,000",181,6207
16050,"$50,000 under $75,000",108,6660
16050,"$75,000 under $100,000",54,4601
16050,"$100,000 under $200,000",61,7773
16050,"$200,000 or more",**,**
,,,
16051,,1592,"75,877"
16051,"$1 under $25,000",670,8003
16051,"$25,000 under $50,000",379,13858
16051,"$50,000 under $75,000",266,16454
16051,"$75,000 under $100,000",135,11741
16051,"$100,000 under $200,000",122,16128
16051,"$200,000 or more",** 20,"** 9,693"
,,,
16052,,"1,253","64,475"
16052,"$1 under $25,000",457,5325
16052,"$25,000 under $50,000",311,11288
16052,"$50,000 under $75,000",217,13448
16052,"$75,000 under $100,000",127,10999
16052,"$100,000 under $200,000",141,23415
16052,"$200,000 or more",**,**
,,,
16053,,"2,035","121,142"
16053,"$1 under $25,000",690,7654
16053,"$25,000 under $50,000",456,16558
16053,"$50,000 under $75,000",332,20617
16053,"$75,000 under $100,000",233,20220
16053,"$100,000 under $200,000",270,35123
16053,"$200,000 or more",** 54,"** 20,970"
,,,
16055,,"4,089","248,683"
16055,"$1 under $25,000",1404,15562
16055,"$25,000 under $50,000",854,31320
16055,"$50,000 under $75,000",637,39519
16055,"$75,000 under $100,000",531,45980
16055,"$100,000 under $200,000",565,73567
16055,"$200,000 or more",98,42735
,,,
16056,,"2,542","138,141"
16056,"$1 under $25,000",1004,11584
16056,"$25,000 under $50,000",595,21609
16056,"$50,000 under $75,000",343,21191
16056,"$75,000 under $100,000",272,23474
16056,"$100,000 under $200,000",270,35499
16056,"$200,000 or more",58,24784
,,,
16057,,"4,558","225,749"
16057,"$1 under $25,000",1849,20544
16057,"$25,000 under $50,000",1038,37691
16057,"$50,000 under $75,000",671,41587
16057,"$75,000 under $100,000",444,38361
16057,"$100,000 under $200,000",489,63123
16057,"$200,000 or more",67,24443
,,,
16059,,"4,044","255,397"
16059,"$1 under $25,000",1429,16050
16059,"$25,000 under $50,000",831,30116
16059,"$50,000 under $75,000",601,37360
16059,"$75,000 under $100,000",443,38502
16059,"$100,000 under $200,000",572,76398
16059,"$200,000 or more",168,56971
,,,
16061,,"1,346","61,539"
16061,"$1 under $25,000",567,6835
16061,"$25,000 under $50,000",311,11313
16061,"$50,000 under $75,000",199,12100
16061,"$75,000 under $100,000",137,11938
16061,"$100,000 under $200,000",132,19353
16061,"$200,000 or more",**,**
,,,
16063,,"3,703","200,865"
16063,"$1 under $25,000",1440,16044
16063,"$25,000 under $50,000",899,32863
16063,"$50,000 under $75,000",520,31993
16063,"$75,000 under $100,000",365,31343
16063,"$100,000 under $200,000",386,50608
16063,"$200,000 or more",** 93,"** 38,014"
,,,
16066,,"13,667","1,154,144"
16066,"$1 under $25,000",3887,37880
16066,"$25,000 under $50,000",2162,79817
16066,"$50,000 under $75,000",1830,114449
16066,"$75,000 under $100,000",1682,146812
16066,"$100,000 under $200,000",3179,434065
16066,"$200,000 or more",927,341121
,,,
16101,,"14,498","640,981"
16101,"$1 under $25,000",6917,80745
16101,"$25,000 under $50,000",3706,134170
16101,"$50,000 under $75,000",1962,120153
16101,"$75,000 under $100,000",1048,90064
16101,"$100,000 under $200,000",780,97847
16101,"$200,000 or more",85,118002
,,,
16102,,"2,550","106,580"
16102,"$1 under $25,000",1151,13331
16102,"$25,000 under $50,000",628,22698
16102,"$50,000 under $75,000",377,23190
16102,"$75,000 under $100,000",212,18115
16102,"$100,000 under $200,000",182,29246
16102,"$200,000 or more",**,**
,,,
16105,,"7,580","438,994"
16105,"$1 under $25,000",2827,31686
16105,"$25,000 under $50,000",1699,62484
16105,"$50,000 under $75,000",1218,75453
16105,"$75,000 under $100,000",801,69534
16105,"$100,000 under $200,000",814,105747
16105,"$200,000 or more",221,94090
,,,
16110,,173,"6,363"
16110,"$1 under $25,000",76,985
16110,"$25,000 under $50,000",46,1611
16110,"$50,000 under $75,000",51,3767
16110,"$75,000 under $100,000",**,**
16110,"$100,000 under $200,000",**,**
16110,"$200,000 or more",**,**
,,,
16111,,490,"16,609"
16111,"$1 under $25,000",241,2810
16111,"$25,000 under $50,000",147,5142
16111,"$50,000 under $75,000",58,3517
16111,"$75,000 under $100,000",** 44,"** 5,140"
16111,"$100,000 under $200,000",**,**
16111,"$200,000 or more",**,**
,,,
16112,,777,"29,605"
16112,"$1 under $25,000",343,4237
16112,"$25,000 under $50,000",217,7813
16112,"$50,000 under $75,000",130,7995
16112,"$75,000 under $100,000",51,4295
16112,"$100,000 under $200,000",** 36,"** 5,265"
16112,"$200,000 or more",**,**
,,,
16114,,306,"10,987"
16114,"$1 under $25,000",134,1483
16114,"$25,000 under $50,000",84,3104
16114,"$50,000 under $75,000",56,3411
16114,"$75,000 under $100,000",32,2989
16114,"$100,000 under $200,000",**,**
16114,"$200,000 or more",**,**
,,,
16115,,1661,"77,561"
16115,"$1 under $25,000",645,7502
16115,"$25,000 under $50,000",427,15543
16115,"$50,000 under $75,000",267,16545
16115,"$75,000 under $100,000",175,15035
16115,"$100,000 under $200,000",** 147,"** 22,936"
16115,"$200,000 or more",**,**
,,,
16116,,"1,338","61,327"
16116,"$1 under $25,000",608,7358
16116,"$25,000 under $50,000",324,11737
16116,"$50,000 under $75,000",202,12420
16116,"$75,000 under $100,000",107,9267
16116,"$100,000 under $200,000",97,20545
16116,"$200,000 or more",**,**
,,,
16117,,"8,277","353,994"
16117,"$1 under $25,000",3541,41883
16117,"$25,000 under $50,000",2234,81303
16117,"$50,000 under $75,000",1285,79209
16117,"$75,000 under $100,000",654,56170
16117,"$100,000 under $200,000",489,62241
16117,"$200,000 or more",74,33188
,,,
16120,,"1,098","55,293"
16120,"$1 under $25,000",444,5513
16120,"$25,000 under $50,000",255,9144
16120,"$50,000 under $75,000",180,11088
16120,"$75,000 under $100,000",108,9290
16120,"$100,000 under $200,000",85,11150
16120,"$200,000 or more",26,9108
,,,
16121,,"2,084","59,195"
16121,"$1 under $25,000",1215,14615
16121,"$25,000 under $50,000",521,18413
16121,"$50,000 under $75,000",203,12409
16121,"$75,000 under $100,000",106,9163
16121,"$100,000 under $200,000",39,4595
16121,"$200,000 or more",**,**
,,,
16123,,"1,126","62,386"
16123,"$1 under $25,000",439,5032
16123,"$25,000 under $50,000",255,9381
16123,"$50,000 under $75,000",180,11088
16123,"$75,000 under $100,000",114,9861
16123,"$100,000 under $200,000",117,15225
16123,"$200,000 or more",** 21,"** 11,799"
,,,
16124,,889,"36,567"
16124,"$1 under $25,000",387,4817
16124,"$25,000 under $50,000",245,8835
16124,"$50,000 under $75,000",146,9052
16124,"$75,000 under $100,000",72,6180
16124,"$100,000 under $200,000",39,7683
16124,"$200,000 or more",**,**
,,,
16125,,7896,"315,536"
16125,"$1 under $25,000",3681,44425
16125,"$25,000 under $50,000",1993,72080
16125,"$50,000 under $75,000",1192,73258
16125,"$75,000 under $100,000",586,50170
16125,"$100,000 under $200,000",369,46312
16125,"$200,000 or more",** 75,"** 29,291"
,,,
16127,,"6,584","314,040"
16127,"$1 under $25,000",2755,31580
16127,"$25,000 under $50,000",1555,56237
16127,"$50,000 under $75,000",1020,62726
16127,"$75,000 under $100,000",611,52543
16127,"$100,000 under $200,000",525,68332
16127,"$200,000 or more",118,42622
,,,
16130,,955,"36,632"
16130,"$1 under $25,000",456,5614
16130,"$25,000 under $50,000",262,9559
16130,"$50,000 under $75,000",134,8262
16130,"$75,000 under $100,000",53,4532
16130,"$100,000 under $200,000",50,8665
16130,"$200,000 or more",**,**
,,,
16131,,441,"15,035"
16131,"$1 under $25,000",207,2298
16131,"$25,000 under $50,000",114,4189
16131,"$50,000 under $75,000",81,4950
16131,"$75,000 under $100,000",39,3598
16131,"$100,000 under $200,000",**,**
16131,"$200,000 or more",**,**
,,,
16133,,752,"32,089"
16133,"$1 under $25,000",300,3857
16133,"$25,000 under $50,000",207,7552
16133,"$50,000 under $75,000",133,8261
16133,"$75,000 under $100,000",62,5304
16133,"$100,000 under $200,000",** 50,"** 7,115"
16133,"$200,000 or more",**,**
,,,
16134,,1763,"69,280"
16134,"$1 under $25,000",791,9550
16134,"$25,000 under $50,000",471,17100
16134,"$50,000 under $75,000",274,16762
16134,"$75,000 under $100,000",132,11479
16134,"$100,000 under $200,000",95,14389
16134,"$200,000 or more",**,**
,,,
16137,,"5,402","250,978"
16137,"$1 under $25,000",2245,26768
16137,"$25,000 under $50,000",1385,50063
16137,"$50,000 under $75,000",849,52761
16137,"$75,000 under $100,000",494,42335
16137,"$100,000 under $200,000",364,46531
16137,"$200,000 or more",** 65,"** 32,520"
,,,
16141,,838,"39,821"
